2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;2;7;3;1;4;2;1;0;2;1;2;25;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;2;8;4;1;5;2;1;0;2;1;2;28;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;3;0;0;2;2;2;2;1;5;2;19;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;3;1;2;0;0;3;0;1;0;0;1;5;16;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;45;49;53;34;30;44;64;31;50;56;36;46;538;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;20;6;22;13;12;13;11;19;15;13;15;15;174;
LESÃO CORPORAL CULPOSA - OUTRAS;0;1;1;2;1;1;0;0;0;0;1;0;7;
LATROCÍNIO;0;0;1;0;0;0;0;0;0;1;0;0;2;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;1;0;0;0;0;0;0;1;0;0;2;
TOTAL DE ESTUPRO (4);8;8;7;4;6;10;4;7;4;4;8;7;77;
ESTUPRO;3;1;1;1;0;2;0;0;0;1;0;1;10;
ESTUPRO DE VULNERÁVEL;5;7;6;3;6;8;4;7;4;3;8;6;67;
TOTAL DE ROUBO - OUTROS (1);206;154;137;67;100;105;213;102;96;104;137;151;1.572;
ROUBO - OUTROS;178;131;122;63;96;103;204;93;87;90;128;136;1.431;
ROUBO DE VEÍCULO;38;27;34;28;19;23;22;25;20;24;42;34;336;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;28;23;15;4;4;2;9;9;9;14;9;15;141;
FURTO - OUTROS;153;94;99;55;156;103;145;103;76;92;122;113;1.311;
FURTO DE VEÍCULO;27;37;33;16;21;23;14;17;9;10;17;18;242;

