2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);2;3;0;2;4;2;4;3;2;2;3;5;32;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);2;3;0;2;4;2;4;3;2;2;3;5;32;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;2;0;2;1;1;0;0;1;0;0;2;0;9;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;4;0;0;2;0;1;1;3;5;5;1;5;27;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;1;0;0;0;0;1;
LESÃO CORPORAL DOLOSA;83;73;52;59;47;63;69;83;84;66;64;69;812;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;22;18;19;5;11;18;22;29;21;27;19;24;235;
LESÃO CORPORAL CULPOSA - OUTRAS;1;0;1;0;0;0;1;0;1;1;0;1;6;
LATROCÍNIO;0;1;0;0;0;0;1;0;1;1;1;0;5;
Nº DE VÍTIMAS EM LATROCÍNIO;0;1;0;0;0;0;1;0;1;1;1;0;5;
TOTAL DE ESTUPRO (4);12;9;10;5;6;12;7;3;4;9;8;2;87;
ESTUPRO;2;1;0;2;1;1;1;0;0;2;2;0;12;
ESTUPRO DE VULNERÁVEL;10;8;10;3;5;11;6;3;4;7;6;2;75;
TOTAL DE ROUBO - OUTROS (1);415;417;386;251;288;491;296;342;332;356;424;455;4.453;
ROUBO - OUTROS;396;410;376;244;283;485;288;325;317;340;410;440;4.314;
ROUBO DE VEÍCULO;24;36;25;18;21;25;25;16;28;15;33;45;311;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;19;7;10;7;5;6;8;17;15;16;14;15;139;
FURTO - OUTROS;130;161;137;108;124;271;172;143;156;179;142;155;1.878;
FURTO DE VEÍCULO;24;24;20;14;24;24;18;20;23;20;21;24;256;

