2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;0;1;0;0;0;1;0;0;0;0;2;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;1;0;0;0;1;0;0;0;0;2;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;1;0;0;0;0;0;0;0;0;1;2;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;1;1;0;0;0;0;0;1;0;1;0;4;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;19;11;15;14;16;12;11;17;15;13;17;12;172;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;6;14;15;4;4;5;7;12;6;9;6;16;104;
LESÃO CORPORAL CULPOSA - OUTRAS;1;1;0;0;0;0;1;0;0;0;0;0;3;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);2;0;1;0;1;0;2;2;0;1;2;3;14;
ESTUPRO;0;0;0;0;1;0;1;0;0;0;0;1;3;
ESTUPRO DE VULNERÁVEL;2;0;1;0;0;0;1;2;0;1;2;2;11;
TOTAL DE ROUBO - OUTROS (1);98;73;102;74;107;99;157;79;58;80;85;71;1.083;
ROUBO - OUTROS;98;71;102;74;107;98;156;79;55;79;84;70;1.073;
ROUBO DE VEÍCULO;6;4;11;3;6;12;11;4;7;6;9;13;92;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;0;2;0;0;0;1;1;0;3;1;1;1;10;
FURTO - OUTROS;85;73;66;41;60;61;76;62;42;57;77;77;777;
FURTO DE VEÍCULO;10;9;13;3;6;9;8;7;9;13;2;12;101;

