2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;5;1;0;3;0;1;0;2;0;0;3;15;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;5;2;0;3;0;1;0;2;0;0;3;16;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;1;0;0;0;0;0;0;0;3;0;1;6;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;1;0;0;0;0;1;
TENTATIVA DE HOMICÍDIO;2;3;0;1;2;2;0;0;3;0;1;2;16;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;39;27;30;28;27;25;25;39;30;39;51;48;408;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;9;13;5;8;8;17;14;10;12;16;17;17;146;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;1;0;2;2;1;6;
LATROCÍNIO;0;1;0;0;0;0;0;1;0;0;0;0;2;
Nº DE VÍTIMAS EM LATROCÍNIO;0;1;0;0;0;0;0;1;0;0;0;0;2;
TOTAL DE ESTUPRO (4);10;2;7;4;3;2;3;5;4;3;2;2;47;
ESTUPRO;3;0;2;0;0;0;0;2;1;1;1;1;11;
ESTUPRO DE VULNERÁVEL;7;2;5;4;3;2;3;3;3;2;1;1;36;
TOTAL DE ROUBO - OUTROS (1);245;287;242;156;161;216;192;163;177;161;206;262;2.468;
ROUBO - OUTROS;233;271;236;154;153;210;188;161;170;153;194;241;2.364;
ROUBO DE VEÍCULO;87;80;73;36;25;33;45;40;35;59;49;78;640;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;12;16;6;2;8;6;4;2;7;8;12;21;104;
FURTO - OUTROS;220;177;158;135;158;178;200;188;153;145;287;196;2.195;
FURTO DE VEÍCULO;77;62;46;36;44;38;32;43;36;51;54;54;573;

