2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);1;1;1;2;0;1;0;0;0;0;1;3;10;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;1;1;2;0;1;0;0;0;0;1;3;10;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;0;0;0;1;1;0;0;1;1;0;5;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;0;0;1;0;0;1;3;0;1;0;1;7;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;33;33;35;33;30;31;40;30;33;29;46;37;410;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;12;5;8;5;5;13;8;13;10;10;11;7;107;
LESÃO CORPORAL CULPOSA - OUTRAS;4;1;5;1;0;1;1;0;1;3;1;0;18;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);4;5;10;1;1;4;8;5;10;4;7;7;66;
ESTUPRO;2;1;5;0;0;1;2;2;1;0;4;0;18;
ESTUPRO DE VULNERÁVEL;2;4;5;1;1;3;6;3;9;4;3;7;48;
TOTAL DE ROUBO - OUTROS (1);289;295;259;232;216;272;219;165;173;142;185;194;2.641;
ROUBO - OUTROS;286;294;258;230;215;272;216;164;173;140;183;192;2.623;
ROUBO DE VEÍCULO;34;43;35;15;16;20;27;17;29;14;21;32;303;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;3;1;1;2;1;0;3;1;0;2;2;2;18;
FURTO - OUTROS;241;214;176;140;148;160;173;166;144;168;182;166;2.078;
FURTO DE VEÍCULO;32;27;33;17;18;15;29;25;22;27;17;23;285;

