2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;1;1;0;0;0;0;0;0;0;0;2;4;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;1;1;0;0;0;0;0;0;0;0;2;4;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;0;0;0;1;1;1;0;2;0;0;6;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;0;1;0;1;1;2;0;1;1;1;0;8;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;22;17;20;16;10;13;21;26;21;22;16;21;225;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;14;5;6;9;9;3;17;6;8;15;9;10;111;
LESÃO CORPORAL CULPOSA - OUTRAS;1;0;0;0;0;0;1;0;1;2;0;1;6;
LATROCÍNIO;0;1;0;0;0;0;0;0;0;1;0;0;2;
Nº DE VÍTIMAS EM LATROCÍNIO;0;1;0;0;0;0;0;0;0;1;0;0;2;
TOTAL DE ESTUPRO (4);0;1;0;1;2;1;2;1;1;3;1;2;15;
ESTUPRO;0;0;0;1;2;1;1;0;0;1;0;2;8;
ESTUPRO DE VULNERÁVEL;0;1;0;0;0;0;1;1;1;2;1;0;7;
TOTAL DE ROUBO - OUTROS (1);134;89;84;67;64;79;75;84;108;92;98;100;1.074;
ROUBO - OUTROS;129;87;83;66;61;77;73;84;106;88;97;96;1.047;
ROUBO DE VEÍCULO;13;15;22;5;4;6;13;10;10;18;12;29;157;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;5;2;1;1;3;2;2;0;2;4;1;4;27;
FURTO - OUTROS;114;120;95;52;86;118;112;106;109;124;118;111;1.265;
FURTO DE VEÍCULO;18;9;7;10;5;9;17;13;4;15;10;8;125;

