2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;1;0;0;1;0;0;0;0;0;0;0;2;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;1;0;0;1;0;0;0;0;0;0;0;2;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;0;0;1;0;0;0;0;1;1;0;0;3;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;1;0;0;0;0;1;
LESÃO CORPORAL DOLOSA;24;3;22;5;6;11;7;16;25;10;9;11;149;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;14;2;6;17;7;5;10;15;8;20;5;10;119;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;1;1;0;0;0;0;2;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;1;1;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;1;1;
TOTAL DE ESTUPRO (4);0;1;0;0;0;1;1;2;0;2;1;1;9;
ESTUPRO;0;0;0;0;0;0;0;2;0;0;0;1;3;
ESTUPRO DE VULNERÁVEL;0;1;0;0;0;1;1;0;0;2;1;0;6;
TOTAL DE ROUBO - OUTROS (1);42;57;50;43;39;38;41;41;37;32;51;44;515;
ROUBO - OUTROS;42;56;47;43;39;37;39;41;37;31;51;43;506;
ROUBO DE VEÍCULO;3;1;3;1;0;1;2;2;2;5;2;4;26;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;0;1;3;0;0;1;2;0;0;1;0;1;9;
FURTO - OUTROS;182;168;139;60;104;125;114;114;137;128;167;168;1.606;
FURTO DE VEÍCULO;30;20;20;3;17;12;15;20;13;17;16;7;190;

