2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;2;0;0;0;1;0;1;1;0;1;0;6;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;2;0;0;0;1;0;1;1;0;1;0;6;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;1;0;0;1;0;2;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;1;0;0;0;1;
TENTATIVA DE HOMICÍDIO;0;0;1;0;2;0;0;2;0;0;2;3;10;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;32;48;28;30;17;12;26;21;27;34;34;29;338;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;10;13;19;11;6;9;18;17;6;24;16;19;168;
LESÃO CORPORAL CULPOSA - OUTRAS;0;2;1;0;0;0;0;1;1;0;0;1;6;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);4;2;2;3;0;2;4;5;3;0;2;3;30;
ESTUPRO;0;1;0;2;0;1;1;0;1;0;1;1;8;
ESTUPRO DE VULNERÁVEL;4;1;2;1;0;1;3;5;2;0;1;2;22;
TOTAL DE ROUBO - OUTROS (1);132;125;145;123;105;117;102;90;109;149;127;127;1.451;
ROUBO - OUTROS;124;117;133;118;102;115;95;87;105;145;117;122;1.380;
ROUBO DE VEÍCULO;33;30;22;23;24;23;35;21;19;20;25;38;313;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;8;8;12;5;3;2;7;3;4;4;10;5;71;
FURTO - OUTROS;103;103;63;70;63;73;67;60;74;87;118;88;969;
FURTO DE VEÍCULO;44;41;32;16;22;22;33;27;26;22;32;36;353;

