2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;1;3;0;1;2;1;0;0;0;1;9;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;1;3;0;1;2;1;0;0;0;1;9;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;1;0;0;0;0;0;0;0;0;1;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;1;0;0;0;0;1;
TENTATIVA DE HOMICÍDIO;1;3;1;0;0;0;0;2;0;0;0;0;7;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;1;0;1;
LESÃO CORPORAL DOLOSA;12;13;16;18;9;16;7;21;21;16;33;24;206;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;7;1;0;5;3;1;8;2;6;5;1;7;46;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;2;1;0;0;0;3;0;6;
LATROCÍNIO;0;0;0;0;0;1;0;0;0;0;0;0;1;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;1;0;0;0;0;0;0;1;
TOTAL DE ESTUPRO (4);2;0;3;0;1;1;1;0;4;1;2;2;17;
ESTUPRO;0;0;0;0;1;0;0;0;1;1;0;1;4;
ESTUPRO DE VULNERÁVEL;2;0;3;0;0;1;1;0;3;0;2;1;13;
TOTAL DE ROUBO - OUTROS (1);107;86;109;74;72;77;68;81;50;87;90;106;1.007;
ROUBO - OUTROS;105;84;107;72;71;74;66;80;50;81;86;96;972;
ROUBO DE VEÍCULO;32;28;30;23;19;20;12;11;10;24;24;46;279;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;2;2;2;2;1;3;2;1;0;6;4;10;35;
FURTO - OUTROS;80;77;68;53;72;65;81;84;92;73;92;67;904;
FURTO DE VEÍCULO;29;24;20;19;22;14;18;12;13;25;14;20;230;

