2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;1;0;0;1;0;0;0;0;0;0;0;2;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;1;0;0;1;0;0;0;0;0;0;0;2;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;1;0;0;0;0;0;0;0;0;0;0;1;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;1;0;0;0;0;0;0;0;0;0;0;1;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;1;0;0;0;1;0;0;0;2;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;0;1;1;0;1;0;0;0;0;1;0;4;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;17;14;11;6;13;10;7;12;7;16;13;7;133;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;8;6;5;4;3;5;5;10;12;8;12;19;97;
LESÃO CORPORAL CULPOSA - OUTRAS;1;0;1;1;0;0;0;1;1;0;1;1;7;
LATROCÍNIO;0;0;0;0;1;0;0;0;0;0;0;0;1;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;1;0;0;0;0;0;0;0;1;
TOTAL DE ESTUPRO (4);1;0;0;0;1;1;1;2;0;1;1;1;9;
ESTUPRO;1;0;0;0;0;0;0;1;0;0;1;1;4;
ESTUPRO DE VULNERÁVEL;0;0;0;0;1;1;1;1;0;1;0;0;5;
TOTAL DE ROUBO - OUTROS (1);107;108;67;42;39;66;45;42;37;37;46;81;717;
ROUBO - OUTROS;104;105;65;40;38;64;44;40;36;35;46;80;697;
ROUBO DE VEÍCULO;22;14;25;12;12;9;16;5;7;6;10;15;153;
ROUBO A BANCO;0;1;0;0;0;0;0;0;0;0;0;0;1;
ROUBO DE CARGA;3;2;2;2;1;2;1;2;1;2;0;1;19;
FURTO - OUTROS;96;100;96;48;57;74;95;75;73;68;92;90;964;
FURTO DE VEÍCULO;39;34;49;26;35;36;39;19;37;36;35;23;408;

