2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;19;10;8;5;6;5;10;14;12;8;11;20;128;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;4;4;2;2;3;4;3;2;5;7;5;8;49;
LESÃO CORPORAL CULPOSA - OUTRAS;3;0;2;0;1;0;0;1;2;0;0;0;9;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);1;2;2;0;1;1;0;1;1;0;1;0;10;
ESTUPRO;0;0;2;0;1;0;0;1;0;0;0;0;4;
ESTUPRO DE VULNERÁVEL;1;2;0;0;0;1;0;0;1;0;1;0;6;
TOTAL DE ROUBO - OUTROS (1);35;30;35;23;25;44;26;23;10;25;20;32;328;
ROUBO - OUTROS;35;30;33;23;25;44;25;23;10;23;19;32;322;
ROUBO DE VEÍCULO;7;3;2;2;5;3;3;2;2;2;2;5;38;
ROUBO A BANCO;0;0;1;0;0;0;0;0;0;0;0;0;1;
ROUBO DE CARGA;0;0;1;0;0;0;1;0;0;2;1;0;5;
FURTO - OUTROS;55;51;52;40;48;54;56;39;42;35;65;48;585;
FURTO DE VEÍCULO;20;23;26;18;27;33;31;28;22;20;19;21;288;

