2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;1;0;0;0;0;0;0;0;0;0;0;1;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;1;0;0;0;0;0;0;0;0;0;0;1;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;1;0;0;0;0;1;0;0;2;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;0;0;1;2;0;3;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;8;10;9;9;8;5;11;10;5;6;6;10;97;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;4;5;3;3;2;4;2;4;3;2;7;6;45;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;1;0;0;0;0;0;0;0;1;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);0;0;1;1;2;0;0;0;2;0;0;0;6;
ESTUPRO;0;0;0;1;0;0;0;0;0;0;0;0;1;
ESTUPRO DE VULNERÁVEL;0;0;1;0;2;0;0;0;2;0;0;0;5;
TOTAL DE ROUBO - OUTROS (1);38;41;38;34;35;49;40;41;29;31;40;40;456;
ROUBO - OUTROS;38;41;38;34;35;49;40;39;29;29;40;38;450;
ROUBO DE VEÍCULO;10;8;4;5;9;3;5;5;4;8;10;7;78;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;0;0;0;0;0;0;0;2;0;2;0;2;6;
FURTO - OUTROS;53;30;28;29;28;45;33;41;37;30;38;38;430;
FURTO DE VEÍCULO;39;21;19;23;11;22;38;27;30;33;48;21;332;

