2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;0;0;0;1;0;0;0;0;0;2;3;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;1;0;0;0;0;0;2;3;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;1;0;0;0;0;0;0;1;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;1;1;0;0;0;0;0;0;1;1;1;5;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;29;22;19;17;17;11;16;25;18;23;26;27;250;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;4;7;5;3;2;4;7;1;5;6;2;4;50;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;1;0;0;0;1;0;0;0;0;0;2;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;1;0;0;1;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;1;0;0;1;
TOTAL DE ESTUPRO (4);2;5;8;1;1;0;3;0;5;2;0;2;29;
ESTUPRO;1;1;3;0;0;0;0;0;1;2;0;0;8;
ESTUPRO DE VULNERÁVEL;1;4;5;1;1;0;3;0;4;0;0;2;21;
TOTAL DE ROUBO - OUTROS (1);105;101;98;78;83;75;87;58;61;57;89;79;971;
ROUBO - OUTROS;102;99;95;77;73;72;86;57;61;56;88;78;944;
ROUBO DE VEÍCULO;15;11;16;6;10;8;8;3;5;6;11;13;112;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;3;2;3;1;10;3;1;1;0;1;1;1;27;
FURTO - OUTROS;69;53;38;37;46;64;58;58;69;68;72;60;692;
FURTO DE VEÍCULO;11;13;7;7;7;10;3;8;14;4;12;9;105;

