2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);3;2;0;0;1;2;0;1;0;0;0;2;11;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);3;2;0;0;1;5;0;1;0;0;0;2;14;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;1;1;2;0;0;1;0;1;0;1;7;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;2;0;2;1;0;0;1;1;2;0;0;1;10;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;1;0;0;0;1;0;0;2;
LESÃO CORPORAL DOLOSA;22;29;16;20;14;19;26;32;21;18;30;33;280;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;5;9;10;6;12;10;8;7;11;5;14;6;103;
LESÃO CORPORAL CULPOSA - OUTRAS;2;2;1;1;0;0;7;0;2;0;0;1;16;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);3;3;3;1;0;3;2;1;2;3;3;1;25;
ESTUPRO;2;1;0;0;0;0;0;0;1;0;1;1;6;
ESTUPRO DE VULNERÁVEL;1;2;3;1;0;3;2;1;1;3;2;0;19;
TOTAL DE ROUBO - OUTROS (1);108;106;98;89;92;83;90;67;63;77;101;96;1.070;
ROUBO - OUTROS;104;105;95;87;92;83;87;66;62;75;100;95;1.051;
ROUBO DE VEÍCULO;9;10;7;10;6;8;6;4;6;9;16;11;102;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;1;0;0;1;
ROUBO DE CARGA;4;1;3;2;0;0;3;1;1;1;1;1;18;
FURTO - OUTROS;158;144;107;83;118;118;115;125;77;92;81;121;1.339;
FURTO DE VEÍCULO;18;15;20;14;10;17;14;17;15;20;24;26;210;

