2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);1;1;0;2;0;1;2;0;1;1;1;1;11;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;1;0;2;0;1;2;0;1;1;1;1;11;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;2;0;1;0;0;1;0;1;2;0;0;0;7;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;1;0;0;0;2;1;1;0;1;1;1;8;
LESÃO CORPORAL SEGUIDA DE MORTE;0;1;0;0;0;0;0;0;0;0;0;0;1;
LESÃO CORPORAL DOLOSA;32;30;31;24;26;33;31;18;26;29;33;42;355;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;10;9;13;7;7;8;14;16;10;16;9;6;125;
LESÃO CORPORAL CULPOSA - OUTRAS;1;1;2;0;0;0;2;1;0;2;2;1;12;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;1;0;1;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;1;0;1;
TOTAL DE ESTUPRO (4);5;3;4;0;2;3;5;3;4;3;6;5;43;
ESTUPRO;0;0;1;0;1;1;1;0;0;1;0;3;8;
ESTUPRO DE VULNERÁVEL;5;3;3;0;1;2;4;3;4;2;6;2;35;
TOTAL DE ROUBO - OUTROS (1);173;141;159;152;117;130;99;106;87;80;88;102;1.434;
ROUBO - OUTROS;170;141;155;152;117;130;98;104;85;79;88;101;1.420;
ROUBO DE VEÍCULO;20;21;14;11;17;5;11;17;21;14;21;20;192;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;3;0;4;0;0;0;1;2;2;1;0;1;14;
FURTO - OUTROS;117;114;118;91;111;129;118;129;137;118;123;78;1.383;
FURTO DE VEÍCULO;31;19;30;15;26;22;15;23;21;21;25;32;280;

