2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;1;1;1;0;0;0;0;0;0;0;1;4;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;1;1;1;0;0;0;0;0;0;0;1;4;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;1;1;1;0;1;0;1;0;0;1;1;7;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;0;1;0;0;0;1;1;1;0;0;0;4;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;23;24;19;17;7;10;23;26;20;22;24;18;233;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;8;7;8;1;1;7;11;7;9;7;2;8;76;
LESÃO CORPORAL CULPOSA - OUTRAS;1;1;1;1;0;0;0;0;0;1;0;0;5;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);0;1;4;1;0;2;1;2;1;2;0;1;15;
ESTUPRO;0;0;2;1;0;0;1;0;0;0;0;0;4;
ESTUPRO DE VULNERÁVEL;0;1;2;0;0;2;0;2;1;2;0;1;11;
TOTAL DE ROUBO - OUTROS (1);88;92;80;86;75;70;68;73;43;56;91;94;916;
ROUBO - OUTROS;88;92;79;86;74;70;66;73;43;56;90;94;911;
ROUBO DE VEÍCULO;15;18;18;5;8;5;5;6;7;6;6;23;122;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;0;0;1;0;1;0;2;0;0;0;1;0;5;
FURTO - OUTROS;188;222;139;63;76;120;138;121;131;157;190;200;1.745;
FURTO DE VEÍCULO;21;39;25;10;20;28;25;21;24;12;13;17;255;

