2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);1;0;0;0;0;1;0;0;0;0;0;0;2;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;0;0;0;0;1;0;0;0;0;0;0;2;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;1;3;0;0;1;1;1;0;0;7;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;1;0;0;0;0;0;1;0;1;0;0;0;3;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;31;33;30;19;24;28;24;23;33;23;38;25;331;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;10;4;7;1;5;9;19;10;16;7;13;6;107;
LESÃO CORPORAL CULPOSA - OUTRAS;1;1;0;0;0;1;1;1;0;0;0;0;5;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);3;1;1;2;1;0;1;1;3;0;5;2;20;
ESTUPRO;0;0;0;1;1;0;0;0;0;0;0;1;3;
ESTUPRO DE VULNERÁVEL;3;1;1;1;0;0;1;1;3;0;5;1;17;
TOTAL DE ROUBO - OUTROS (1);144;147;92;87;94;87;111;69;105;117;133;98;1.284;
ROUBO - OUTROS;144;146;91;87;93;85;108;68;104;116;132;95;1.269;
ROUBO DE VEÍCULO;23;19;20;14;10;12;6;16;9;20;17;26;192;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;0;1;1;0;1;2;3;1;1;1;1;3;15;
FURTO - OUTROS;116;113;98;69;87;102;98;96;91;118;127;118;1.233;
FURTO DE VEÍCULO;37;46;35;23;31;31;31;32;18;27;23;27;361;

