2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;1;0;0;2;0;0;2;0;0;0;1;6;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;1;0;0;2;0;0;2;0;0;0;1;6;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;1;1;0;0;0;0;0;1;0;3;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;1;1;0;1;1;2;0;0;1;0;0;1;8;
LESÃO CORPORAL SEGUIDA DE MORTE;0;1;0;0;0;0;0;0;0;1;0;0;2;
LESÃO CORPORAL DOLOSA;42;18;29;13;26;24;23;20;18;32;25;32;302;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;10;10;6;4;4;9;4;6;4;4;8;12;81;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;1;1;0;0;1;1;0;1;1;1;7;
LATROCÍNIO;1;0;0;0;0;0;0;0;0;0;0;0;1;
Nº DE VÍTIMAS EM LATROCÍNIO;1;0;0;0;0;0;0;0;0;0;0;0;1;
TOTAL DE ESTUPRO (4);2;4;2;1;5;2;6;5;3;4;2;1;37;
ESTUPRO;1;1;1;0;0;0;1;1;0;1;0;0;6;
ESTUPRO DE VULNERÁVEL;1;3;1;1;5;2;5;4;3;3;2;1;31;
TOTAL DE ROUBO - OUTROS (1);146;135;124;118;106;139;90;107;150;91;98;107;1.411;
ROUBO - OUTROS;145;132;124;118;106;139;89;107;148;91;98;107;1.404;
ROUBO DE VEÍCULO;29;14;19;17;9;17;11;17;12;18;21;23;207;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;1;3;0;0;0;0;1;0;2;0;0;0;7;
FURTO - OUTROS;96;87;93;89;93;102;101;92;92;65;87;89;1.086;
FURTO DE VEÍCULO;12;22;12;7;10;12;23;5;11;6;15;21;156;

