2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);2;0;3;0;1;1;0;1;0;1;1;0;10;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);2;0;3;0;1;1;0;1;0;1;1;0;10;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;1;0;0;0;1;0;0;0;1;3;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;2;1;1;1;1;1;0;1;0;0;0;8;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;1;0;0;1;
LESÃO CORPORAL DOLOSA;24;23;26;27;29;29;46;40;35;34;36;35;384;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;12;11;4;8;5;9;11;8;11;10;16;15;120;
LESÃO CORPORAL CULPOSA - OUTRAS;0;2;1;0;0;0;1;1;0;2;1;0;8;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);7;2;7;3;3;3;2;6;5;1;5;4;48;
ESTUPRO;0;0;3;0;1;1;0;1;2;0;1;1;10;
ESTUPRO DE VULNERÁVEL;7;2;4;3;2;2;2;5;3;1;4;3;38;
TOTAL DE ROUBO - OUTROS (1);171;134;151;102;112;119;111;84;79;98;133;100;1.394;
ROUBO - OUTROS;168;133;143;100;110;118;108;80;79;94;130;100;1.363;
ROUBO DE VEÍCULO;44;23;36;19;14;13;14;20;20;13;24;27;267;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;3;1;8;2;2;1;3;4;0;4;3;0;31;
FURTO - OUTROS;150;136;141;116;91;77;117;94;94;74;99;71;1.260;
FURTO DE VEÍCULO;70;54;52;38;43;39;50;40;39;29;55;34;543;

