2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);2;1;1;1;0;1;0;2;3;2;2;2;17;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);2;1;1;1;0;1;0;2;3;2;2;3;18;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;1;0;0;1;0;1;0;0;0;1;1;5;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;1;0;1;
TENTATIVA DE HOMICÍDIO;0;1;0;2;1;0;1;1;1;0;0;2;9;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;19;16;30;13;2;8;15;10;25;20;39;26;223;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;2;13;19;9;1;4;15;10;6;19;11;7;116;
LESÃO CORPORAL CULPOSA - OUTRAS;0;2;0;1;0;1;1;0;1;0;0;0;6;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);1;1;1;3;3;4;2;2;3;5;2;6;33;
ESTUPRO;0;0;0;0;0;0;0;0;2;2;0;0;4;
ESTUPRO DE VULNERÁVEL;1;1;1;3;3;4;2;2;1;3;2;6;29;
TOTAL DE ROUBO - OUTROS (1);99;83;86;67;72;21;24;54;55;50;88;76;775;
ROUBO - OUTROS;97;82;84;65;71;19;17;50;53;49;86;72;745;
ROUBO DE VEÍCULO;18;14;6;6;4;5;3;4;3;3;10;5;81;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;2;1;2;2;1;2;7;4;2;1;2;4;30;
FURTO - OUTROS;86;135;72;36;51;46;37;86;80;83;82;87;881;
FURTO DE VEÍCULO;8;10;9;11;9;7;3;2;9;9;14;5;96;

