2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);1;1;2;0;0;2;1;0;1;1;2;3;14;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;1;2;0;0;2;1;0;1;1;2;3;14;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;4;3;1;2;1;1;2;0;2;2;2;2;22;
HOMICÍDIO CULPOSO OUTROS;0;1;0;0;0;0;0;0;0;0;0;0;1;
TENTATIVA DE HOMICÍDIO;3;2;2;2;0;0;0;5;0;1;1;0;16;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;34;45;29;38;32;51;29;51;52;47;50;55;513;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;8;21;12;3;11;10;19;16;15;25;27;4;171;
LESÃO CORPORAL CULPOSA - OUTRAS;1;4;2;1;1;3;3;1;1;0;1;20;38;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;1;0;0;1;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;1;0;0;1;
TOTAL DE ESTUPRO (4);7;6;9;4;1;3;6;5;6;6;7;6;66;
ESTUPRO;2;2;1;1;0;2;1;1;0;2;1;0;13;
ESTUPRO DE VULNERÁVEL;5;4;8;3;1;1;5;4;6;4;6;6;53;
TOTAL DE ROUBO - OUTROS (1);185;158;200;121;136;138;159;168;152;128;163;157;1.865;
ROUBO - OUTROS;181;152;191;120;133;131;154;161;140;120;153;138;1.774;
ROUBO DE VEÍCULO;24;29;31;22;15;13;18;14;27;22;26;26;267;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;4;6;9;1;3;7;5;7;12;8;10;19;91;
FURTO - OUTROS;143;180;126;103;130;144;167;177;162;159;135;165;1.791;
FURTO DE VEÍCULO;46;36;46;25;32;24;33;11;42;30;42;30;397;

