2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);3;0;1;0;4;1;1;0;1;1;3;2;17;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);3;0;1;0;4;1;1;0;1;1;3;2;17;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;2;0;0;0;1;3;1;2;0;1;0;10;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;1;1;1;1;0;2;2;1;0;0;1;10;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;1;0;0;0;0;0;1;
LESÃO CORPORAL DOLOSA;38;27;25;26;45;35;38;35;43;42;48;57;459;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;11;13;12;5;7;8;11;13;9;7;8;11;115;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;1;0;2;1;3;2;1;0;10;
LATROCÍNIO;0;0;1;0;0;0;0;0;0;0;0;0;1;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;1;0;0;0;0;0;0;0;0;0;1;
TOTAL DE ESTUPRO (4);5;8;5;3;1;5;6;3;5;7;9;11;68;
ESTUPRO;2;1;2;0;0;1;1;0;1;0;0;0;8;
ESTUPRO DE VULNERÁVEL;3;7;3;3;1;4;5;3;4;7;9;11;60;
TOTAL DE ROUBO - OUTROS (1);215;177;138;116;162;152;151;138;101;138;183;175;1.846;
ROUBO - OUTROS;187;164;119;101;143;143;141;119;82;102;150;136;1.587;
ROUBO DE VEÍCULO;28;18;23;8;22;12;21;15;19;14;27;27;234;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;28;13;19;15;19;9;10;19;19;36;33;39;259;
FURTO - OUTROS;116;131;74;73;77;157;165;119;132;130;106;107;1.387;
FURTO DE VEÍCULO;27;20;27;21;15;15;30;19;17;19;21;30;261;

