2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;1;1;1;0;1;0;0;2;1;0;2;9;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;1;1;1;0;1;0;0;2;1;0;2;9;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;1;1;0;0;0;0;2;0;0;1;0;5;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;1;0;1;1;1;0;0;1;1;1;0;7;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;13;21;33;13;16;22;23;17;24;15;25;24;246;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;6;3;6;2;2;3;14;5;6;10;8;9;74;
LESÃO CORPORAL CULPOSA - OUTRAS;8;5;4;1;1;3;2;1;3;0;4;3;35;
LATROCÍNIO;0;0;0;0;0;0;0;1;0;0;0;0;1;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;1;0;0;0;0;1;
TOTAL DE ESTUPRO (4);0;2;2;3;1;1;1;4;4;3;1;2;24;
ESTUPRO;0;1;1;0;0;0;1;0;0;0;0;0;3;
ESTUPRO DE VULNERÁVEL;0;1;1;3;1;1;0;4;4;3;1;2;21;
TOTAL DE ROUBO - OUTROS (1);178;159;158;71;92;117;133;93;132;134;118;117;1.502;
ROUBO - OUTROS;169;151;149;63;86;115;122;91;128;130;109;105;1.418;
ROUBO DE VEÍCULO;22;32;26;12;7;6;17;20;22;29;23;16;232;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;9;8;9;8;6;2;11;2;4;4;9;12;84;
FURTO - OUTROS;78;87;62;40;59;80;72;74;100;76;78;74;880;
FURTO DE VEÍCULO;23;14;6;10;11;13;21;15;17;22;9;14;175;

