2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;1;1;0;0;0;0;2;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;1;1;0;0;0;0;2;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;1;0;0;0;0;0;0;0;0;1;3;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;1;0;1;1;1;1;0;1;0;0;0;6;
LESÃO CORPORAL SEGUIDA DE MORTE;0;1;0;0;0;0;0;0;0;0;0;0;1;
LESÃO CORPORAL DOLOSA;11;12;18;20;21;17;14;20;21;20;14;20;208;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;7;7;4;3;6;9;4;6;2;8;4;4;64;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);1;0;1;1;0;0;0;1;0;0;0;2;6;
ESTUPRO;0;0;0;0;0;0;0;0;0;0;0;1;1;
ESTUPRO DE VULNERÁVEL;1;0;1;1;0;0;0;1;0;0;0;1;5;
TOTAL DE ROUBO - OUTROS (1);156;162;151;132;198;184;159;95;62;102;109;116;1.626;
ROUBO - OUTROS;154;162;151;131;195;182;158;95;61;102;107;115;1.613;
ROUBO DE VEÍCULO;11;4;10;12;14;14;8;13;10;8;11;19;134;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;2;0;0;1;3;2;1;0;1;0;2;1;13;
FURTO - OUTROS;116;79;65;47;86;99;79;61;57;71;70;70;900;
FURTO DE VEÍCULO;12;10;10;8;11;10;8;5;13;7;6;10;110;

