2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;2;0;0;1;0;0;1;1;0;0;0;5;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;2;0;0;1;0;0;1;1;0;0;0;5;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;1;0;0;0;1;0;0;0;0;0;0;0;2;
LESÃO CORPORAL SEGUIDA DE MORTE;0;1;0;0;0;0;0;0;0;0;0;0;1;
LESÃO CORPORAL DOLOSA;10;10;4;7;5;12;9;7;8;8;13;14;107;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;5;0;2;0;2;3;2;2;1;2;5;2;26;
LESÃO CORPORAL CULPOSA - OUTRAS;4;5;1;0;0;0;0;0;0;1;0;0;11;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);0;1;1;1;1;0;0;0;0;1;1;1;7;
ESTUPRO;0;0;1;1;0;0;0;0;0;0;0;0;2;
ESTUPRO DE VULNERÁVEL;0;1;0;0;1;0;0;0;0;1;1;1;5;
TOTAL DE ROUBO - OUTROS (1);29;35;29;28;17;29;23;17;26;24;30;24;311;
ROUBO - OUTROS;29;33;29;28;17;28;21;16;23;23;30;23;300;
ROUBO DE VEÍCULO;1;0;2;1;1;1;2;3;2;0;0;1;14;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;0;2;0;0;0;1;2;1;3;1;0;1;11;
FURTO - OUTROS;70;55;60;22;41;62;55;54;52;53;66;55;645;
FURTO DE VEÍCULO;7;6;10;5;6;8;8;4;7;6;6;8;81;

