2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;0;1;0;0;0;1;1;0;0;0;3;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;1;0;0;0;1;1;0;0;0;3;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;1;0;0;0;0;0;0;0;0;0;1;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;0;0;2;2;0;0;0;1;0;0;1;6;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;36;42;33;22;11;23;19;33;29;29;26;36;339;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;7;6;2;2;3;2;11;4;4;8;2;2;53;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;1;1;0;0;2;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);1;1;0;2;0;2;4;0;2;0;2;1;15;
ESTUPRO;0;1;0;2;0;1;2;0;0;0;1;0;7;
ESTUPRO DE VULNERÁVEL;1;0;0;0;0;1;2;0;2;0;1;1;8;
TOTAL DE ROUBO - OUTROS (1);134;92;94;40;50;94;78;60;41;42;73;92;890;
ROUBO - OUTROS;131;92;93;40;49;94;75;60;41;42;72;88;877;
ROUBO DE VEÍCULO;31;17;22;8;14;8;15;14;10;14;8;12;173;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;3;0;1;0;1;0;3;0;0;0;1;4;13;
FURTO - OUTROS;36;45;37;22;36;50;31;40;32;32;45;35;441;
FURTO DE VEÍCULO;13;7;16;15;6;15;25;15;13;13;11;11;160;

