2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);2;3;0;3;2;2;1;3;1;3;1;0;21;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);2;4;0;3;2;2;1;3;1;4;1;0;23;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;1;1;0;1;0;1;0;2;1;0;7;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;2;1;1;0;3;3;3;0;1;1;1;0;16;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;1;0;0;0;0;0;0;0;1;
LESÃO CORPORAL DOLOSA;44;45;36;47;45;35;54;37;54;24;42;40;503;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;5;14;8;5;3;7;7;8;4;7;10;11;89;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;1;0;0;0;0;5;1;0;7;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);4;3;3;4;2;4;7;7;7;4;4;6;55;
ESTUPRO;1;1;1;1;2;1;2;1;1;1;1;1;14;
ESTUPRO DE VULNERÁVEL;3;2;2;3;0;3;5;6;6;3;3;5;41;
TOTAL DE ROUBO - OUTROS (1);239;282;243;216;250;287;262;167;137;236;227;214;2.760;
ROUBO - OUTROS;228;264;228;207;242;272;245;160;127;231;224;212;2.640;
ROUBO DE VEÍCULO;12;25;12;9;9;15;17;15;11;11;10;12;158;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;11;18;15;9;8;15;17;7;10;5;3;2;120;
FURTO - OUTROS;135;146;126;83;98;114;132;126;122;142;121;141;1.486;
FURTO DE VEÍCULO;25;18;17;16;15;15;17;14;11;20;21;24;213;

