2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);3;0;1;0;1;0;1;0;0;0;0;0;6;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);3;0;1;0;1;0;1;0;0;0;0;0;6;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;1;0;0;0;0;0;0;1;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;2;0;1;2;0;0;0;1;0;1;2;0;9;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;25;29;9;19;21;37;19;18;22;27;31;29;286;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;8;10;3;3;6;6;5;11;9;5;11;14;91;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);4;1;2;0;4;1;3;3;0;4;0;2;24;
ESTUPRO;0;0;0;0;2;0;1;0;0;0;0;1;4;
ESTUPRO DE VULNERÁVEL;4;1;2;0;2;1;2;3;0;4;0;1;20;
TOTAL DE ROUBO - OUTROS (1);90;85;77;46;54;71;66;44;40;45;77;81;776;
ROUBO - OUTROS;86;84;72;43;52;68;62;44;39;43;75;78;746;
ROUBO DE VEÍCULO;23;23;18;14;15;12;12;24;10;8;25;20;204;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;4;1;5;3;2;3;4;0;1;2;2;3;30;
FURTO - OUTROS;93;99;71;52;60;97;65;79;64;68;87;82;917;
FURTO DE VEÍCULO;49;32;38;26;35;26;46;31;28;27;15;21;374;

