2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);1;2;2;1;1;0;1;2;0;0;2;1;13;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;2;2;1;1;0;1;2;0;0;2;1;13;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;1;0;0;0;0;0;0;0;0;0;0;0;1;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;1;0;0;0;0;0;0;0;0;0;0;0;1;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;2;0;0;0;1;1;0;0;1;2;0;8;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;1;1;0;2;0;1;0;0;0;2;3;0;10;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;1;0;0;0;0;0;0;0;0;1;
LESÃO CORPORAL DOLOSA;23;32;21;29;14;17;19;11;18;24;22;21;251;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;14;14;8;5;7;13;6;13;24;16;9;9;138;
LESÃO CORPORAL CULPOSA - OUTRAS;2;1;0;0;0;0;0;0;0;1;1;1;6;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);3;1;2;1;4;2;0;1;0;4;2;4;24;
ESTUPRO;0;0;1;1;1;1;0;0;0;1;0;2;7;
ESTUPRO DE VULNERÁVEL;3;1;1;0;3;1;0;1;0;3;2;2;17;
TOTAL DE ROUBO - OUTROS (1);123;113;81;73;105;124;128;90;100;88;167;159;1.351;
ROUBO - OUTROS;121;112;80;73;104;123;126;90;100;87;167;158;1.341;
ROUBO DE VEÍCULO;11;7;8;4;11;7;19;11;11;14;11;25;139;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;2;1;1;0;1;1;2;0;0;1;0;1;10;
FURTO - OUTROS;107;126;89;69;80;155;106;87;84;115;156;154;1.328;
FURTO DE VEÍCULO;13;11;6;7;7;8;7;5;9;8;14;14;109;

