2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;2;0;2;3;2;1;2;1;0;1;1;15;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;3;0;2;3;2;1;2;1;0;1;1;16;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;2;0;0;1;0;0;1;0;0;4;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;1;0;0;0;0;0;0;0;0;1;0;2;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;1;0;0;0;0;0;1;
LESÃO CORPORAL DOLOSA;13;8;5;9;10;15;18;9;10;11;11;11;130;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;8;4;10;4;5;3;4;9;10;2;19;3;81;
LESÃO CORPORAL CULPOSA - OUTRAS;2;0;0;0;1;0;0;0;0;0;0;0;3;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);2;1;0;0;1;1;1;1;1;0;1;2;11;
ESTUPRO;0;0;0;0;0;0;0;0;0;0;0;1;1;
ESTUPRO DE VULNERÁVEL;2;1;0;0;1;1;1;1;1;0;1;1;10;
TOTAL DE ROUBO - OUTROS (1);97;93;78;46;62;91;96;89;85;78;78;95;988;
ROUBO - OUTROS;91;87;71;45;59;84;94;84;83;74;74;90;936;
ROUBO DE VEÍCULO;14;18;10;4;6;11;14;8;6;14;16;7;128;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;6;6;7;1;3;7;2;5;2;4;4;5;52;
FURTO - OUTROS;108;91;76;50;71;100;140;95;122;101;76;68;1.098;
FURTO DE VEÍCULO;21;15;15;13;11;16;21;21;19;19;19;16;206;

