2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;1;1;1;0;1;0;4;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;1;1;1;0;1;0;4;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;1;0;0;1;0;0;0;1;1;0;1;5;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;0;3;0;0;1;0;0;2;0;1;0;7;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;17;5;15;3;16;8;8;13;12;12;13;11;133;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;16;9;7;3;5;4;9;9;11;7;13;14;107;
LESÃO CORPORAL CULPOSA - OUTRAS;0;2;0;1;1;1;0;0;0;1;1;0;7;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);1;0;1;0;0;0;1;0;0;2;1;0;6;
ESTUPRO;1;0;1;0;0;0;1;0;0;1;1;0;5;
ESTUPRO DE VULNERÁVEL;0;0;0;0;0;0;0;0;0;1;0;0;1;
TOTAL DE ROUBO - OUTROS (1);65;55;56;41;32;45;35;37;36;58;46;45;551;
ROUBO - OUTROS;60;50;54;39;29;44;35;36;35;58;41;42;523;
ROUBO DE VEÍCULO;7;10;13;8;3;5;5;4;2;0;4;4;65;
ROUBO A BANCO;0;1;0;0;0;0;0;0;0;0;0;0;1;
ROUBO DE CARGA;5;4;2;2;3;1;0;1;1;0;5;3;27;
FURTO - OUTROS;126;136;114;77;71;117;114;91;90;102;121;101;1.260;
FURTO DE VEÍCULO;28;26;29;18;20;21;16;29;20;36;21;16;280;

