2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);2;0;0;0;1;1;0;1;0;0;0;0;5;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);2;0;0;0;1;1;0;3;0;0;0;0;7;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;1;0;0;0;1;2;1;0;1;0;6;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;1;1;0;2;0;0;0;0;4;
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;0;0;0;1;2;3;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;11;1;0;0;0;1;0;0;7;12;24;15;71;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;15;8;16;3;7;6;10;2;7;14;11;13;112;
LESÃO CORPORAL CULPOSA - OUTRAS;0;6;16;2;2;4;7;5;0;0;0;0;42;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);1;1;0;2;2;0;2;2;1;1;2;4;18;
ESTUPRO;0;0;0;0;0;0;1;0;0;1;1;3;6;
ESTUPRO DE VULNERÁVEL;1;1;0;2;2;0;1;2;1;0;1;1;12;
TOTAL DE ROUBO - OUTROS (1);73;57;35;71;56;50;60;52;82;47;51;70;704;
ROUBO - OUTROS;70;53;29;70;53;49;59;50;81;45;49;62;670;
ROUBO DE VEÍCULO;7;10;17;7;7;3;4;8;8;4;8;8;91;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;3;4;6;1;3;1;1;2;1;2;2;8;34;
FURTO - OUTROS;105;108;77;67;66;90;121;63;93;78;79;107;1.054;
FURTO DE VEÍCULO;22;25;20;27;21;27;19;18;14;17;13;10;233;

