2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);1;0;2;0;0;1;0;0;0;1;0;1;6;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;0;2;0;0;1;0;0;0;1;0;1;6;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;2;0;0;1;0;0;0;0;1;4;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;1;1;2;0;0;0;1;0;2;0;0;1;8;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;42;30;48;17;7;16;27;22;25;27;31;24;316;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;5;5;3;2;2;4;10;9;7;2;4;8;61;
LESÃO CORPORAL CULPOSA - OUTRAS;1;0;1;0;0;0;1;0;1;1;0;0;5;
LATROCÍNIO;0;0;0;0;0;0;1;0;0;0;0;0;1;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;1;0;0;0;0;0;1;
TOTAL DE ESTUPRO (4);2;2;1;1;2;3;3;1;5;0;2;1;23;
ESTUPRO;0;0;1;0;0;1;2;0;1;0;0;0;5;
ESTUPRO DE VULNERÁVEL;2;2;0;1;2;2;1;1;4;0;2;1;18;
TOTAL DE ROUBO - OUTROS (1);177;172;184;105;80;94;85;95;107;88;157;145;1.489;
ROUBO - OUTROS;170;165;174;102;75;91;85;89;104;86;151;143;1.435;
ROUBO DE VEÍCULO;54;44;26;23;14;15;14;25;22;11;23;28;299;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;7;7;10;3;5;3;0;6;3;2;6;2;54;
FURTO - OUTROS;63;64;50;46;62;72;64;58;55;48;63;62;707;
FURTO DE VEÍCULO;35;30;23;19;20;14;32;25;21;24;36;22;301;

