2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;0;1;1;0;1;1;0;1;0;0;5;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;1;1;0;1;1;0;1;0;0;5;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;1;1;0;2;0;0;3;1;0;1;0;9;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;1;1;0;0;1;1;0;0;0;0;0;4;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;1;0;0;0;0;0;0;0;1;
LESÃO CORPORAL DOLOSA;18;24;34;16;19;13;25;17;22;27;32;44;291;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;7;6;5;2;5;2;8;7;7;7;10;6;72;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;1;0;0;1;2;0;2;2;0;8;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);1;6;2;0;0;3;1;0;2;4;0;3;22;
ESTUPRO;0;2;1;0;0;1;0;0;0;3;0;0;7;
ESTUPRO DE VULNERÁVEL;1;4;1;0;0;2;1;0;2;1;0;3;15;
TOTAL DE ROUBO - OUTROS (1);141;104;116;88;104;132;96;97;79;91;119;112;1.279;
ROUBO - OUTROS;136;103;116;87;101;131;94;97;76;90;111;103;1.245;
ROUBO DE VEÍCULO;33;27;19;14;15;9;13;11;13;21;22;22;219;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;5;1;0;1;3;1;2;0;3;1;8;9;34;
FURTO - OUTROS;98;113;57;29;43;52;60;56;52;42;61;57;720;
FURTO DE VEÍCULO;14;14;13;8;11;5;9;14;7;7;15;4;121;

