2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);6;2;3;1;1;1;7;5;6;0;0;0;32;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);6;2;3;1;1;1;7;6;6;0;0;0;33;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;1;0;0;0;0;0;0;0;0;0;0;0;1;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;1;0;0;0;0;0;0;0;0;0;0;0;1;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;0;1;1;0;0;1;1;1;0;1;7;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;2;1;1;1;2;2;2;1;2;2;0;2;18;
LESÃO CORPORAL SEGUIDA DE MORTE;1;0;0;0;0;0;0;0;0;0;0;0;1;
LESÃO CORPORAL DOLOSA;47;39;42;42;37;45;51;59;53;53;42;47;557;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;3;5;8;4;5;4;14;13;16;15;14;5;106;
LESÃO CORPORAL CULPOSA - OUTRAS;1;0;1;0;0;0;1;1;0;0;0;0;4;
LATROCÍNIO;0;0;0;0;0;1;0;0;0;0;0;0;1;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;1;0;0;0;0;0;0;1;
TOTAL DE ESTUPRO (4);9;8;4;5;1;7;7;4;12;6;2;4;69;
ESTUPRO;1;3;3;1;0;1;2;1;2;1;0;2;17;
ESTUPRO DE VULNERÁVEL;8;5;1;4;1;6;5;3;10;5;2;2;52;
TOTAL DE ROUBO - OUTROS (1);226;237;216;142;166;247;184;233;215;238;233;232;2.569;
ROUBO - OUTROS;213;233;211;139;159;238;177;224;207;229;228;228;2.486;
ROUBO DE VEÍCULO;22;33;17;21;15;21;20;21;23;19;23;27;262;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;13;4;5;3;7;9;7;9;8;9;5;4;83;
FURTO - OUTROS;97;108;60;57;87;106;122;102;106;153;107;108;1.213;
FURTO DE VEÍCULO;15;15;14;17;12;12;15;11;15;20;15;12;173;

