2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);2;1;0;0;0;0;0;0;0;0;1;1;5;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);2;1;0;0;0;0;0;0;0;0;1;1;5;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;1;0;0;0;0;0;0;0;0;0;0;0;1;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;1;0;0;0;0;0;0;0;0;0;0;0;1;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;1;1;0;0;1;1;2;3;1;0;1;12;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;1;0;0;0;1;
TENTATIVA DE HOMICÍDIO;1;0;1;0;0;0;4;1;0;0;1;0;8;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;58;47;45;39;38;41;56;50;64;45;64;57;604;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;15;14;16;5;10;9;10;14;9;13;23;22;160;
LESÃO CORPORAL CULPOSA - OUTRAS;3;1;0;2;0;2;0;0;1;1;1;1;12;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);5;10;2;3;5;6;2;10;6;2;6;4;61;
ESTUPRO;1;4;1;1;3;0;0;4;1;1;1;2;19;
ESTUPRO DE VULNERÁVEL;4;6;1;2;2;6;2;6;5;1;5;2;42;
TOTAL DE ROUBO - OUTROS (1);244;287;268;279;261;260;252;210;199;179;210;250;2.899;
ROUBO - OUTROS;235;281;253;274;252;253;236;199;194;172;206;247;2.802;
ROUBO DE VEÍCULO;10;17;14;22;16;12;17;9;10;8;10;22;167;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;9;6;15;5;9;7;16;11;5;7;4;3;97;
FURTO - OUTROS;179;152;146;111;137;169;155;144;133;139;172;127;1.764;
FURTO DE VEÍCULO;21;15;15;10;15;20;13;17;13;2;14;13;168;

