2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;1;1;0;0;0;0;2;0;0;0;1;5;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;1;0;1;0;0;0;0;2;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;8;9;11;13;2;5;3;1;2;9;11;4;78;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;12;12;6;7;8;3;9;9;13;6;12;5;102;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;5;1;0;4;0;0;0;10;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);0;0;1;0;0;1;0;1;0;1;2;1;7;
ESTUPRO;0;0;0;0;0;0;0;1;0;1;0;0;2;
ESTUPRO DE VULNERÁVEL;0;0;1;0;0;1;0;0;0;0;2;1;5;
TOTAL DE ROUBO - OUTROS (1);62;77;85;92;76;132;76;69;47;68;37;44;865;
ROUBO - OUTROS;62;76;83;91;76;131;75;68;47;68;36;43;856;
ROUBO DE VEÍCULO;3;11;4;10;8;5;3;8;4;4;6;9;75;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;0;1;2;1;0;1;1;1;0;0;1;1;9;
FURTO - OUTROS;66;90;58;50;31;63;63;48;62;97;75;54;757;
FURTO DE VEÍCULO;17;13;8;7;3;7;5;6;8;8;13;8;103;

