2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;1;0;3;0;0;0;0;0;4;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;0;0;1;1;1;3;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;26;34;31;21;27;28;29;45;30;35;24;34;364;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;6;5;8;2;3;4;6;8;6;10;2;3;63;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;1;0;1;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);4;2;2;3;2;1;2;3;0;2;1;0;22;
ESTUPRO;1;0;1;1;0;1;1;1;0;1;0;0;7;
ESTUPRO DE VULNERÁVEL;3;2;1;2;2;0;1;2;0;1;1;0;15;
TOTAL DE ROUBO - OUTROS (1);108;85;76;84;69;105;63;53;77;85;73;87;965;
ROUBO - OUTROS;105;83;76;84;69;103;61;49;76;85;72;86;949;
ROUBO DE VEÍCULO;15;9;11;7;5;6;16;2;4;14;15;29;133;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;3;2;0;0;0;2;2;4;1;0;1;1;16;
FURTO - OUTROS;84;74;70;65;73;63;63;80;84;87;104;81;928;
FURTO DE VEÍCULO;19;21;19;14;12;19;11;28;12;16;28;26;225;

