id,nome,siglaPartido,siglaUf,fundeb,orcamento,previdencia,wilson
204554,Abílio Santana,PL,BA,Não,Não,Sim,Sim
204521,Abou Anni,PSL,SP,Não,Não,Sim,Não
204379,Acácio Favacho,PROS,AP,Sim,NA,Sim,Sim
204560,Adolfo Viana,PSDB,BA,Sim,Não,Sim,NA
204528,Adriana Ventura,NOVO,SP,Não,Não,Sim,Não
121948,Adriano do Baldy,PP,GO,Sim,Não,Sim,NA
74646,Aécio Neves,PSDB,MG,Sim,Não,Sim,Sim
141372,Aelton Freitas,PL,MG,NA,NA,NA,NA
160508,Afonso Florence,PT,BA,Sim,Sim,Não,Sim
136811,Afonso Hamm,PP,RS,Sim,Não,Sim,Não
178835,Afonso Motta,PDT,RS,Sim,Sim,Não,Sim
160527,Aguinaldo Ribeiro,PP,PB,Sim,Não,Sim,Sim
204495,Airton Faleiro,PT,PA,Sim,NA,Não,Sim
204549,AJ Albuquerque,PP,CE,Sim,Não,Sim,Sim
178836,Alan Rick,DEM,AC,Não,Não,Sim,NA
160559,Alceu Moreira,MDB,RS,Sim,Não,Sim,Sim
204413,Alcides Rodrigues,PATRIOTA,GO,NA,Não,Sim,NA
204545,Alê Silva,PSL,MG,Não,Não,Sim,NA
204501,Alencar Santana Braga,PT,SP,Sim,Sim,Não,NA
160511,Alessandro Molon,PSB,RJ,Sim,Sim,Não,NA
178972,Alex Manente,CIDADANIA,SP,Sim,Sim,Sim,Não
204571,Alex Santana,PDT,BA,Não,Sim,Sim,Não
204544,Alexandre Frota,PSDB,SP,Sim,Sim,Sim,Não
160545,Alexandre Leite,DEM,SP,Não,Não,Sim,NA
204503,Alexandre Padilha,PT,SP,Sim,Sim,Não,Sim
178833,Alexandre Serfiotis,PSD,RJ,Sim,NA,Sim,Não
204516,Alexis Fonteyne,NOVO,SP,Não,Não,Sim,Não
74057,Alice Portugal,PCdoB,BA,Sim,Sim,Não,Sim
178927,Aliel Machado,PSB,PR,Sim,Sim,Não,Não
204353,Aline Gurgel,REPUBLICANOS,AP,Sim,Não,Não,Sim
204400,Aline Sleutjes,PSL,PR,Não,Não,Sim,Não
178937,Altineu Côrtes,PL,RJ,NA,NA,Sim,NA
178881,Aluisio Mendes,PSC,MA,Sim,Não,Sim,NA
204356,Amaro Neto,REPUBLICANOS,ES,Não,Não,Sim,Sim
178831,André Abdon,PP,AP,Sim,Não,Sim,Sim
74471,André de Paula,PSD,PE,Sim,Não,Sim,Sim
204423,André Ferreira,PSC,PE,Não,NA,Sim,Não
133439,André Figueiredo,PDT,CE,Sim,Sim,Não,Sim
178882,André Fufuca,PP,MA,NA,Não,Sim,Sim
204515,André Janones,AVANTE,MG,Sim,Sim,Não,Não
73696,Angela Amin,PP,SC,Sim,Não,Sim,Não
74212,Aníbal Gomes,DEM,CE,NA,NA,Sim,NA
160553,Antonio Brito,PSD,BA,NA,Não,Sim,NA
73433,Arlindo Chinaglia,PT,SP,Sim,Sim,Não,Sim
141391,Arnaldo Jardim,CIDADANIA,SP,Sim,Sim,Sim,Não
204414,Aroldo Martins,REPUBLICANOS,PR,Sim,Não,Sim,Sim
160541,Arthur Lira,PP,AL,NA,NA,Sim,Sim
160600,Arthur Oliveira Maia,DEM,BA,Sim,Não,Sim,NA
159237,Assis Carvalho,PT,PI,NA,Sim,Não,Sim
74090,Átila Lins,PP,AM,Sim,Não,Sim,NA
74459,Átila Lira,PP,PI,Sim,Não,Sim,Sim
160665,Augusto Coutinho,SOLIDARIEDADE,PE,Sim,Não,Sim,Sim
204509,Áurea Carolina,PSOL,MG,Sim,NA,Não,NA
160512,Aureo Ribeiro,SOLIDARIEDADE,RJ,Não,Não,Sim,NA
69871,Bacelar,PODE,BA,Sim,Sim,NA,Sim
178975,Baleia Rossi,MDB,SP,Sim,NA,Sim,Sim
73701,Benedita da Silva,PT,RJ,Sim,NA,Não,Sim
109429,Benes Leocádio,REPUBLICANOS,RN,Sim,Não,Sim,Não
141335,Beto Faro,PT,PA,Sim,Sim,Não,Sim
204358,Beto Pereira,PSDB,MS,Sim,Não,Sim,Não
178948,Beto Rosado,PP,RN,NA,Não,Sim,Sim
207176,Bia Cavassa,PSDB,MS,Sim,Sim,NA,Não
204374,Bia Kicis,PSL,DF,Não,Não,Sim,Não
