siglaPartido,votacao,Sim,Não
AVANTE,fundeb,3,3
AVANTE,orcamento,2,5
AVANTE,previdencia,6,1
AVANTE,wilson,3,3
CIDADANIA,fundeb,7,1
CIDADANIA,orcamento,6,2
CIDADANIA,previdencia,8,0
CIDADANIA,wilson,0,9
DEM,fundeb,14,10
DEM,orcamento,1,24
DEM,previdencia,30,0
DEM,wilson,14,4
MDB,fundeb,24,1
MDB,orcamento,1,31
MDB,previdencia,34,0
MDB,wilson,25,0
NOVO,fundeb,0,8
NOVO,orcamento,0,8
NOVO,previdencia,8,0
NOVO,wilson,0,6
PATRIOTA,fundeb,3,2
PATRIOTA,orcamento,0,5
PATRIOTA,previdencia,5,0
PATRIOTA,wilson,0,1
PCdoB,fundeb,8,0
PCdoB,orcamento,7,0
PCdoB,previdencia,0,8
PCdoB,wilson,7,0
PDT,fundeb,25,1
PDT,orcamento,25,3
PDT,previdencia,8,19
PDT,wilson,15,12
PHS,previdencia,1,0
PL,fundeb,4,25
PL,orcamento,1,35
PL,previdencia,37,1
PL,wilson,24,3
PMN,previdencia,0,1
PODE,fundeb,7,2
PODE,orcamento,3,8
PODE,previdencia,10,0
PODE,wilson,2,4
PP,fundeb,27,8
PP,orcamento,1,37
PP,previdencia,36,3
PP,wilson,27,6
PRB,previdencia,29,2
PROS,fundeb,7,1
PROS,orcamento,3,6
PROS,previdencia,7,3
PROS,wilson,3,4
PSB,fundeb,27,3
PSB,orcamento,24,5
PSB,previdencia,11,21
PSB,wilson,4,18
PSC,fundeb,4,5
PSC,orcamento,1,7
PSC,previdencia,7,1
PSC,wilson,2,4
PSD,fundeb,18,10
PSD,orcamento,0,30
PSD,previdencia,34,2
PSD,wilson,18,9
PSDB,fundeb,24,6
PSDB,orcamento,5,22
PSDB,previdencia,28,1
PSDB,wilson,6,19
PSL,fundeb,4,42
PSL,orcamento,1,51
PSL,previdencia,52,0
PSL,wilson,2,44
PSOL,fundeb,9,0
PSOL,orcamento,9,0
PSOL,previdencia,0,10
PSOL,wilson,0,9
PT,fundeb,53,0
PT,orcamento,50,0
PT,previdencia,0,54
PT,wilson,38,3
PTB,fundeb,5,3
PTB,orcamento,0,10
PTB,previdencia,12,0
PTB,wilson,11,0
PV,fundeb,3,1
PV,orcamento,4,0
PV,previdencia,2,2
PV,wilson,0,4
REDE,fundeb,1,0
REDE,orcamento,1,0
REDE,previdencia,0,1
REDE,wilson,0,1
REPUBLICANOS,fundeb,7,24
REPUBLICANOS,orcamento,0,29
REPUBLICANOS,wilson,25,4
S.PART.,previdencia,1,0
SOLIDARIEDADE,fundeb,2,7
SOLIDARIEDADE,orcamento,1,11
SOLIDARIEDADE,previdencia,13,1
SOLIDARIEDADE,wilson,7,3
