RM,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1 RM,16,554,3022,4560,2521,1123,681,711,771,749,301,351,354,1267,1521,3683,3087,2816,84
2 RM,22,6288,20411,10192,11124,10663,11650,13155,4631,4571,4627,4935,3599,5907,7607,14779,22148,26167,343
3 RM,0,3070,3165,5709,8135,2516,2544,2776,2988,2641,2242,2768,2557,4613,7899,12284,13806,20486,87
4 RM,371,904,1411,811,724,511,911,641,734,728,989,926,595,469,1902,2697,3798,7274,43
5 RM,472,907,847,762,925,722,1185,1599,919,1211,1709,2025,1355,4504,5981,10417,12381,35481,103
6 RM,339,50,591,130,335,369,476,317,596,451,274,358,197,442,1190,1928,1968,5050,39
7 RM,45,398,823,730,1508,160,154,358,252,280,159,295,95,259,537,1525,2796,6319,61
8 RM,53,389,241,76,65,106,98,87,108,115,133,78,52,143,250,640,992,3015,14
9 RM,5,916,1016,193,233,197,525,459,364,372,223,651,381,385,1116,1826,2979,4775,77
10 RM,113,335,288,195,406,395,767,809,752,564,674,624,666,761,1335,2121,2753,3959,45
11 RM,41,1628,5023,749,961,774,1065,712,897,1329,968,1065,670,1521,2900,6721,9923,19016,261
12 RM,203,152,277,71,52,44,100,47,29,38,76,46,37,180,369,818,1704,3493,86
