OCORRÊNCIAS EM 2020 POR TIPO E UF;;;;;;;;;;;;;;;;;
UF;;JANEIRO;FEVEREIRO ;MARÇO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;TOTAL;;;
AC;Extravio;6;3;5;0;1;7;7;4;5;6;1;0;45;;;
;Furto;1;7;7;1;3;7;2;7;5;4;2;0;46;;;
;Roubo;0;0;3;0;1;1;0;1;0;1;0;0;7;;;
;Apreensão;1;3;0;0;0;0;0;0;0;1;0;0;5;;;
;Recuperação;1;7;1;0;0;1;1;2;1;2;0;0;16;;;
;Campanha do Desarmamento;0;2;0;0;0;0;0;0;0;0;0;0;2;;;
;Remessa ao Exército;0;2;0;0;0;0;0;0;0;0;0;0;2;;;
;Apostilamento no Exército;0;1;0;0;0;4;2;3;1;0;0;0;11;;;
;Arrecadação;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
;Sub Judice;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
;TOTAL DE OCORRÊNCIAS;9;25;16;1;5;20;12;17;12;14;3;0;134;;;
AL;Extravio;2;0;0;2;0;2;2;0;2;2;1;0;13;;;
;Furto;2;3;1;4;0;3;2;3;0;4;2;0;24;;;
;Roubo;0;1;0;0;1;0;0;0;1;0;0;0;3;;;
;Apreensão;0;0;0;0;1;1;0;3;1;1;2;0;9;;;
;Recuperação;1;0;0;0;0;14;0;2;0;0;0;0;17;;;
;Campanha do Desarmamento;3;2;1;0;0;2;3;1;0;3;0;0;15;;;
;Remessa ao Exército;0;0;0;0;0;0;0;0;0;0;16;0;16;;;
;Apostilamento no Exército;2;2;3;3;1;2;8;13;2;9;1;0;46;;;
;Arrecadação;0;0;1;0;0;0;0;0;4;0;0;0;5;;;
;Sub Judice;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
;TOTAL DE OCORRÊNCIAS;10;8;6;9;3;24;15;22;10;19;22;0;148;;;
AM;Extravio;5;6;0;1;0;1;4;0;0;1;2;0;20;;;
;Furto;2;4;4;6;2;5;2;2;0;1;0;0;28;;;
;Roubo;0;1;0;1;1;0;0;5;0;1;0;0;9;;;
;Apreensão;0;0;0;0;1;0;0;0;0;0;1;0;2;;;
