value;ensino_e_turma_ind;somente_ensino;somente_turma;prop_1;prop_2;prop_3;lingua;ling_etn
1;261;978;261;0,1744;0,4862;0,1711;Aikaná/ Aikanã;Aikaná
7;156;156;156;0,1042;0,0776;0,1022;Amanayé;Amanayé
10;396;495;396;0,2646;0,2461;0,2595;Apalaí;Apalaí
11;392;850;392;0,2619;0,4226;0,2569;Apiaká;Apiaká
12;1157;1204;1157;0,773;0,5986;0,7583;Apinayé;Apinayé
13;1093;1693;1109;0,7303;0,8417;0,7268;Apurinã;Apurinã
15;222;236;222;0,1483;0,1173;0,1455;Arara do Acre, Shawãdawa;Arara do Acre
200;25;25;25;0,0167;0,0124;0,0164;Arara do Aripuana/ Arara do Aripuanã;Arara do Aripuanã
201;0;125;NA;0;0,0621;NA;Arara do Pará, Arara do Xingu;Arara do Pará
17;126;453;136;0,0842;0,2252;0,0891;Araweté;Araweté
316;94;100;94;0,0628;0,0497;0,0616;Arikén;Arikén
18;13;15;13;0,0087;0,0075;0,0085;Arikapú/ Jabutí;Arikapú
19;280;282;280;0,1871;0,1402;0,1835;Aruá;Aruá
274;613;1264;613;0,4096;0,6284;0,4017;Aruák;Aruák
60;268;284;285;0,1791;0,1412;0,1868;Ashanínka/ Axanínka;Ashaninka
20;98;132;98;0,0655;0,0656;0,0642;Asuriní do Tocantins;Asurini do Tocantins
22;4;4;4;0,0027;0,002;0,0026;Ava-Canoeiro/ Avá-Canoeiro, Avá, Canoeiro;Ava-Canoeiro
23;149;220;149;0,0996;0,1094;0,0977;Awetí;Aweti
24;110;877;110;0,0735;0,436;0,0721;Bakairí;Bakairí
26;1539;1599;1539;1,0283;0,795;1,0086;Baníwa/ Tapiira Tapuya, Kawa Tapuya;Baniwa
25;80;80;80;0,0535;0,0398;0,0524;Banawá;Banawa
29;62;62;62;0,0414;0,0308;0,0406;Baré;Baré
30;393;715;393;0,2626;0,3555;0,2576;Boróro;Bororo
251;1004;1069;1004;0,6708;0,5315;0,658;Canela;Kanela
142;564;564;564;0,3768;0,2804;0,3696;Canoeiros/ Rikbaktsá;Rikbaktsa
323;0;8;NA;0;0,004;NA;Catokin (Katukína);Katukina
207;90;90;90;0,0601;0,0447;0,059;Chiquitáno/ Chiquito;Chiquitáno
31;327;358;327;0,2185;0,178;0,2143;Cinta Larga/ Cinta-Larga;Cinta Larga
325;0;186;NA;0;0,0925;NA;Coiupanka;Coiupanka
34;58;71;58;0,0388;0,0353;0,038;Dâw;Dâw
32;152;380;152;0,1016;0,1889;0,0996;Dení;Dení
33;146;152;146;0,0975;0,0756;0,0957;Desána;Desána
47;156;164;156;0,1042;0,0815;0,1022;Djeoromitxí/ Jabotí/ Jabutí;Djeoromitxá
192;762;1145;762;0,5091;0,5693;0,4994;Fulni-ô/ Yathê;Fulni-ô
35;74;92;74;0,0494;0,0457;0,0485;Galibí do Oiapoque, Galibí (Ka’ríña);Galibi do Oiapoque
135;402;529;402;0,2686;0,263;0,2635;Galibí Marwórno/ Galibi Marworno;Galibí Marwórno
36;251;251;251;0,1677;0,1248;0,1645;Gavião (Ikõro, Digüt), Gavião de Rondônia/ Ikolen;Gavião de Rondônia
254;0;96;NA;0;0,0477;NA;Gavião Parkatêjê/ Guató Parakatejé/ Gavião do Pará;Gavião Parkatejê
240;139;139;139;0,0929;0,0691;0,0911;Gavião Pukobiyé/ Gavião Pukobié;Gavião Pukobiê
37;364;374;399;0,2432;0,1859;0,2615;Guajá;Guajá
211;6530;7102;6530;4,3629;3,531;4,2796;Guajajára;Tenetehara
326;59;59;59;0,0394;0,0293;0,0387;Guara;Guara
266;1499;2200;1861;1,0015;1,0938;1,2197;Guaraní;Guaraní
38;7885;12268;7885;5,2683;6,0994;5,1677;Guaraní Kaiowá/ Guarani Kayová;Guaraní Kaiowá
39;1526;2286;1540;1,0196;1,1366;1,0093;Guaraní Mbyá;Guaraní Mbyá
40;2070;2903;2070;1,383;1,4433;1,3566;Guaraní Nhandéva;Guaraní Nhandéva
42;46;46;46;0,0307;0,0229;0,0301;Guató;Guató
43;170;284;170;0,1136;0,1412;0,1114;Hixkaryána;Hixkaryána
286;854;979;854;0,5706;0,4867;0,5597;Hup, Húpda, Maku, Yuhupde, Yuhúp;Hupda
173;245;245;245;0,1637;0,1218;0,1606;Ikpeng/ Ikpéng;Ikpeng
45;834;864;834;0,5572;0,4296;0,5466;Ingarikó;Ingarikó
46;81;136;81;0,0541;0,0676;0,0531;Irántxe;Irántxe
260;265;268;265;0,1771;0,1332;0,1737;Jê (não específico);Jê (não específico)
215;3;3;3;0,002;0,0015;0,002;Júma/ Juma;Juma
50;632;657;632;0,4223;0,3266;0,4142;Javaé;Javaé
331;0;317;NA;0;0,1576;NA;Jeripancó/ Jeripankó;Jeripancó
51;217;291;217;0,145;0,1447;0,1422;Jurúna/ Yudjá;Yudjá
52;300;509;300;0,2004;0,2531;0,1966;Ka'apor/ Urubu, Ka’apór;Ka'apor
53;316;348;316;0,2111;0,173;0,2071;Kadiwéu;Kadiwéu
235;8298;11477;8298;5,5442;5,7062;5,4384;Kaingáng;Kaingang
59;104;104;104;0,0695;0,0517;0,0682;Kamayurá;Kamayurá
204;560;703;560;0,3742;0,3495;0,367;Kambéba;Kambéba
61;1356;1558;1356;0,906;0,7746;0,8887;Kanamarí;Kanamarí
63;1031;1533;1031;0,6888;0,7622;0,6757;Karajá;Karajá
82;64;118;64;0,0428;0,0587;0,0419;Kararaô (Kayapó);Kayapó
278;733;733;733;0,4897;0,3644;0,4804;Karib;Karib
134;589;647;589;0,3935;0,3217;0,386;Karipúna do Amapá;Karipúna do Amapá
69;299;801;299;0,1998;0,3982;0,196;Katukína;Katukina
68;167;173;167;0,1116;0,086;0,1094;Katukína do Acre;Katukina do Acre
268;59;64;59;0,0394;0,0318;0,0387;Kawahíb;Kawahíb
77;174;174;174;0,1163;0,0865;0,114;Kaxararí;Kaxarari
78;3620;4524;3730;2,4187;2,2493;2,4446;Kaxinawá;Kaxinawá
80;683;749;683;0,4563;0,3724;0,4476;Kayabí;Kayabí
220;717;1772;727;0,4791;0,881;0,4765;Kayapó;Kayapó
222;44;52;44;0,0294;0,0259;0,0288;Kinikináu, Kinikinawa;Kinikinau
348;26;42;26;0,0174;0,0209;0,017;Kiriri;Kiriri
90;1493;2112;1493;0,9975;1,0501;0,9785;Kokáma;Kokama
83;0;23;NA;0;0,0114;NA;Kokraimoro (Kayapó);Kayapó
255;676;1136;676;0,4517;0,5648;0,443;Krahô/ Crao, Kraô;Krahô
256;27;237;37;0,018;0,1178;0,0242;Krao Kanela;Krahô-Kanela
92;30;33;30;0,02;0,0164;0,0197;Krenák;Krenák
224;271;271;271;0,1811;0,1347;0,1776;Krikatí/ Krinkatí;Krikati
