controle;ano;MES;titulo;cisp;municipio_fato;sexo;cor
00549721-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;029a. Madureira;Rio de Janeiro;masculino;branca
25120151-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;020a. Grajaú;Rio de Janeiro;masculino;parda
25120151-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;020a. Grajaú;Rio de Janeiro;sem informação;sem informação
71947871-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;054a. Belford Roxo;Belford Roxo;masculino;parda
55699111-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;021a. Bonsucesso;Rio de Janeiro;sem informação;sem informação
55699111-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;021a. Bonsucesso;Rio de Janeiro;masculino;parda
55699111-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;021a. Bonsucesso;Rio de Janeiro;masculino;parda
92356951-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;059a. Duque de Caxias;Duque de Caxias;masculino;sem informação
24972931-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;039a. Pavuna;Rio de Janeiro;sem informação;branca
87949191-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;066a. Piabetá;Magé;masculino;parda
87949191-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;066a. Piabetá;Magé;masculino;branca
24800211-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;038a. Braz de Pina;Rio de Janeiro;masculino;parda
51238601-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;028a. Campinho;Rio de Janeiro;sem informação;sem informação
56139601-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;026a. Todos os Santos;Rio de Janeiro;masculino;branca
71064381-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;020a. Grajaú;Rio de Janeiro;masculino;parda
05659931-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;062a. Imbariê;Duque de Caxias;masculino;branca
64728171-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;078a. Fonseca;Niterói;masculino;parda
12118861-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;124a. Saquarema;Saquarema;masculino;parda
88766602-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;005a. Mem de Sá;Rio de Janeiro;masculino;parda
94598151-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;016a. Barra da Tijuca;Rio de Janeiro;sem informação;sem informação
94598151-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;016a. Barra da Tijuca;Rio de Janeiro;masculino;branca
30836501-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;078a. Fonseca;Niterói;masculino;parda
54113881-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;078a. Fonseca;Niterói;masculino;branca
54113881-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;078a. Fonseca;Niterói;masculino;negra
71306261-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;037a. Ilha do Governador;Rio de Janeiro;sem informação;sem informação
71306261-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;037a. Ilha do Governador;Rio de Janeiro;masculino;parda
71306261-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;037a. Ilha do Governador;Rio de Janeiro;masculino;parda
72475461-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;078a. Fonseca;Niterói;masculino;parda
65667671-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;006a. Cidade Nova;Rio de Janeiro;masculino;parda
73634251-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;062a. Imbariê;Duque de Caxias;masculino;parda
93472151-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;038a. Braz de Pina;Rio de Janeiro;masculino;negra
93472151-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;038a. Braz de Pina;Rio de Janeiro;masculino;parda
69986041-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;147a. São Francisco de Itabapoana;São Francisco de Itabapoana;sem informação;sem informação
03056271-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;027a. Vicente de Carvalho;Rio de Janeiro;sem informação;sem informação
03056271-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;027a. Vicente de Carvalho;Rio de Janeiro;masculino;negra
03056271-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;027a. Vicente de Carvalho;Rio de Janeiro;masculino;parda
45781461-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;034a. Bangu;Rio de Janeiro;masculino;negra
53544121-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;034a. Bangu;Rio de Janeiro;masculino;branca
53544121-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;034a. Bangu;Rio de Janeiro;masculino;negra
90259001-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;029a. Madureira;Rio de Janeiro;sem informação;sem informação
92936631-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;018a. Praça da Bandeira;Rio de Janeiro;feminino;branca
92936631-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;018a. Praça da Bandeira;Rio de Janeiro;masculino;branca
92936631-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;018a. Praça da Bandeira;Rio de Janeiro;masculino;parda
20501361-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;022a. Penha;Rio de Janeiro;masculino;parda
84748531-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;036a. Santa Cruz;Rio de Janeiro;feminino;parda
49758041-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;060a. Campos Elíseos;Duque de Caxias;masculino;branca
53346521-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;071a. Itaboraí;Itaboraí;masculino;branca
53346521-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;071a. Itaboraí;Itaboraí;masculino;parda
10903921-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;026a. Todos os Santos;Rio de Janeiro;masculino;parda
10903921-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;026a. Todos os Santos;Rio de Janeiro;masculino;negra
12933061-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;024a. Piedade;Rio de Janeiro;masculino;parda
30194881-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;081a. Itaipú;Niterói;masculino;negra
91942231-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;060a. Campos Elíseos;Duque de Caxias;masculino;branca
93574081-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;032a. Taquara;Rio de Janeiro;masculino;negra
35261791-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;151a. Nova Friburgo;Nova Friburgo;masculino;negra
72867811-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;039a. Pavuna;Rio de Janeiro;masculino;branca
44005301-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;039a. Pavuna;Rio de Janeiro;sem informação;sem informação
44005301-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;039a. Pavuna;Rio de Janeiro;masculino;negra
44005301-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;039a. Pavuna;Rio de Janeiro;masculino;parda
27025341-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;034a. Bangu;Rio de Janeiro;masculino;negra
11071812-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;059a. Duque de Caxias;Duque de Caxias;masculino;parda
28495571-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;025a. Engenho Novo;Rio de Janeiro;masculino;parda
40402331-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;054a. Belford Roxo;Belford Roxo;masculino;negra
54126151-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;027a. Vicente de Carvalho;Rio de Janeiro;masculino;parda
54126151-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;027a. Vicente de Carvalho;Rio de Janeiro;masculino;negra
94803641-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;059a. Duque de Caxias;Duque de Caxias;masculino;parda
37430301-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;040a. Honório Gurgel;Rio de Janeiro;masculino;branca
71665041-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;052a. Nova Iguaçu;Nova Iguaçu;masculino;negra
90887061-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;034a. Bangu;Rio de Janeiro;masculino;negra
78012011-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;054a. Belford Roxo;Belford Roxo;masculino;branca
47688691-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;022a. Penha;Rio de Janeiro;sem informação;sem informação
47688691-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;022a. Penha;Rio de Janeiro;masculino;negra
47688691-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;022a. Penha;Rio de Janeiro;masculino;parda
97518511-2010;2010;janeiro;Morte por Intervenção de Agente do Estado;053a. Mesquita;Mesquita;masculino;parda
92217311-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;029a. Madureira;Rio de Janeiro;masculino;branca
69203121-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;023a. Meier;Rio de Janeiro;masculino;parda
69203121-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;023a. Meier;Rio de Janeiro;masculino;parda
31275881-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;072a. São Gonçalo;São Gonçalo;sem informação;sem informação
68540861-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;130a. Quissamã;Quissamã;masculino;parda
87046831-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;029a. Madureira;Rio de Janeiro;sem informação;sem informação
13675382-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;020a. Grajaú;Rio de Janeiro;masculino;negra
13675382-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;020a. Grajaú;Rio de Janeiro;masculino;negra
18058971-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;059a. Duque de Caxias;Duque de Caxias;masculino;negra
32845741-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;039a. Pavuna;Rio de Janeiro;masculino;parda
49591841-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;071a. Itaboraí;Itaboraí;masculino;branca
74891541-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;039a. Pavuna;Rio de Janeiro;masculino;negra
80920571-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;006a. Cidade Nova;Rio de Janeiro;sem informação;sem informação
80920571-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;006a. Cidade Nova;Rio de Janeiro;masculino;parda
26925131-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;039a. Pavuna;Rio de Janeiro;masculino;parda
26925131-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;039a. Pavuna;Rio de Janeiro;masculino;negra
54439321-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;029a. Madureira;Rio de Janeiro;sem informação;sem informação
99052522-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;057a. Nilópolis;Nilópolis;masculino;negra
04694581-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;056a. Comendador Soares;Nova Iguaçu;masculino;parda
09039001-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;073a. Neves;São Gonçalo;masculino;branca
09039001-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;073a. Neves;São Gonçalo;masculino;parda
07742731-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;052a. Nova Iguaçu;Nova Iguaçu;masculino;negra
72367952-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;025a. Engenho Novo;Rio de Janeiro;masculino;ignorado
72367952-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;025a. Engenho Novo;Rio de Janeiro;masculino;ignorado
72367952-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;025a. Engenho Novo;Rio de Janeiro;masculino;parda
72367952-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;025a. Engenho Novo;Rio de Janeiro;masculino;negra
72367952-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;025a. Engenho Novo;Rio de Janeiro;masculino;negra
72367952-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;025a. Engenho Novo;Rio de Janeiro;masculino;ignorado
72367952-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;025a. Engenho Novo;Rio de Janeiro;masculino;branca
72367952-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;025a. Engenho Novo;Rio de Janeiro;masculino;parda
75756861-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;034a. Bangu;Rio de Janeiro;masculino;branca
11386381-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;021a. Bonsucesso;Rio de Janeiro;masculino;branca
21022411-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;052a. Nova Iguaçu;Nova Iguaçu;masculino;parda
21022411-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;052a. Nova Iguaçu;Nova Iguaçu;masculino;negra
83430051-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;017a. São Cristóvão;Rio de Janeiro;masculino;parda
12384541-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;019a. Tijuca;Rio de Janeiro;masculino;branca
29034481-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;044a. Inhaúma;Rio de Janeiro;sem informação;sem informação
57767331-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;034a. Bangu;Rio de Janeiro;masculino;ignorado
69094221-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;057a. Nilópolis;Nilópolis;masculino;parda
69094221-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;057a. Nilópolis;Nilópolis;masculino;negra
91818331-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;039a. Pavuna;Rio de Janeiro;masculino;branca
16846451-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;034a. Bangu;Rio de Janeiro;masculino;negra
39350391-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;062a. Imbariê;Duque de Caxias;masculino;branca
43150021-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;021a. Bonsucesso;Rio de Janeiro;masculino;parda
65269001-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;064a. Vilar dos Teles;São João de Meriti;masculino;parda
96011701-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;077a. Icaraí;Niterói;masculino;branca
00713261-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;039a. Pavuna;Rio de Janeiro;sem informação;sem informação
35053131-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;030a. Marechal Hermes;Rio de Janeiro;masculino;negra
95742731-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;044a. Inhaúma;Rio de Janeiro;masculino;negra
28054151-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;062a. Imbariê;Duque de Caxias;masculino;parda
97921201-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;021a. Bonsucesso;Rio de Janeiro;masculino;parda
82133481-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;064a. Vilar dos Teles;São João de Meriti;masculino;parda
18450901-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;038a. Braz de Pina;Rio de Janeiro;masculino;branca
24046841-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;062a. Imbariê;Duque de Caxias;masculino;negra
26070931-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;033a. Realengo;Rio de Janeiro;masculino;negra
69936661-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;019a. Tijuca;Rio de Janeiro;masculino;ignorado
15826851-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;039a. Pavuna;Rio de Janeiro;masculino;negra
15826851-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;039a. Pavuna;Rio de Janeiro;masculino;parda
15826851-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;039a. Pavuna;Rio de Janeiro;masculino;branca
42833171-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;034a. Bangu;Rio de Janeiro;masculino;negra
21538971-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;058a. Posse;Nova Iguaçu;masculino;ignorado
40074991-2010;2010;fevereiro;Morte por Intervenção de Agente do Estado;062a. Imbariê;Duque de Caxias;masculino;parda
79641711-2010;2010;março;Morte por Intervenção de Agente do Estado;034a. Bangu;Rio de Janeiro;masculino;parda
98931841-2010;2010;março;Morte por Intervenção de Agente do Estado;078a. Fonseca;Niterói;masculino;parda
44506891-2010;2010;março;Morte por Intervenção de Agente do Estado;039a. Pavuna;Rio de Janeiro;masculino;branca
44506891-2010;2010;março;Morte por Intervenção de Agente do Estado;039a. Pavuna;Rio de Janeiro;masculino;negra
15120771-2010;2010;março;Morte por Intervenção de Agente do Estado;040a. Honório Gurgel;Rio de Janeiro;masculino;branca
38612821-2010;2010;março;Morte por Intervenção de Agente do Estado;050a. Itaguaí;Itaguaí;masculino;parda
49498081-2010;2010;março;Morte por Intervenção de Agente do Estado;050a. Itaguaí;Itaguaí;masculino;parda
55517981-2010;2010;março;Morte por Intervenção de Agente do Estado;078a. Fonseca;Niterói;masculino;negra
93470991-2010;2010;março;Morte por Intervenção de Agente do Estado;038a. Braz de Pina;Rio de Janeiro;masculino;parda
93470991-2010;2010;março;Morte por Intervenção de Agente do Estado;038a. Braz de Pina;Rio de Janeiro;masculino;parda
25307211-2010;2010;março;Morte por Intervenção de Agente do Estado;034a. Bangu;Rio de Janeiro;masculino;negra
28036521-2010;2010;março;Morte por Intervenção de Agente do Estado;027a. Vicente de Carvalho;Rio de Janeiro;masculino;parda
31172513-2010;2010;março;Morte por Intervenção de Agente do Estado;025a. Engenho Novo;Rio de Janeiro;masculino;parda
37721651-2010;2010;março;Morte por Intervenção de Agente do Estado;020a. Grajaú;Rio de Janeiro;masculino;parda
60573081-2010;2010;março;Morte por Intervenção de Agente do Estado;059a. Duque de Caxias;Duque de Caxias;sem informação;sem informação
05102421-2010;2010;março;Morte por Intervenção de Agente do Estado;033a. Realengo;Rio de Janeiro;masculino;parda
63333781-2010;2010;março;Morte por Intervenção de Agente do Estado;056a. Comendador Soares;Nova Iguaçu;masculino;negra
81975241-2010;2010;março;Morte por Intervenção de Agente do Estado;036a. Santa Cruz;Rio de Janeiro;masculino;parda
81975241-2010;2010;março;Morte por Intervenção de Agente do Estado;036a. Santa Cruz;Rio de Janeiro;masculino;negra
48063131-2010;2010;março;Morte por Intervenção de Agente do Estado;024a. Piedade;Rio de Janeiro;masculino;parda
60338721-2010;2010;março;Morte por Intervenção de Agente do Estado;015a. Gávea;Rio de Janeiro;sem informação;sem informação
60338721-2010;2010;março;Morte por Intervenção de Agente do Estado;015a. Gávea;Rio de Janeiro;sem informação;sem informação
60338721-2010;2010;março;Morte por Intervenção de Agente do Estado;015a. Gávea;Rio de Janeiro;sem informação;sem informação
