aisp;aisp_dscr;cisp;cisp_dscr
2;2º BPM - Zona Sul;9;009a. Catete
2;2º BPM - Zona Sul;10;010a. Botafogo
3;3º BPM - Méier;23;023a. Meier
3;3º BPM - Méier;24;024a. Piedade
3;3º BPM - Méier;25;025a. Engenho Novo
3;3º BPM - Méier;26;026a. Todos os Santos
3;3º BPM - Méier;44;044a. Inhaúma
4;4º BPM - Centro;6;006a. Cidade Nova
4;4º BPM - Centro;17;017a. São Cristóvão
5;5º BPM - Centro;1;001a. Praça Mauá
5;5º BPM - Centro;4;004a. Praça da República
5;5º BPM - Centro;5;005a. Mem de Sá
5;5º BPM - Centro;7;007a. Santa Tereza
6;6º BPM - Tijuca;18;018a. Praça da Bandeira
6;6º BPM - Tijuca;19;019a. Tijuca
6;6º BPM - Tijuca;20;020a. Grajaú
7;7º BPM - São Gonçalo;72;072a. São Gonçalo
7;7º BPM - São Gonçalo;73;073a. Neves
7;7º BPM - São Gonçalo;74;074a. Alcantara
7;7º BPM - São Gonçalo;75;075a. Rio do Ouro
8;8º BPM - Campos;134;134a. Campos
8;8º BPM - Campos;141;141a. São Fidelis
8;8º BPM - Campos;145;145a. São João da Barra
8;8º BPM - Campos;146;146a. Guarus
8;8º BPM - Campos;147;147a. São Francisco de Itabapoana
9;9º BPM - Madureira;29;029a. Madureira
9;9º BPM - Madureira;30;030a. Marechal Hermes
9;9º BPM - Madureira;40;040a. Honório Gurgel
10;10º BPM - Barra do Piraí;88;088a. Barra do Piraí
10;10º BPM - Barra do Piraí;91;091a. Valença
10;10º BPM - Barra do Piraí;92;092a. Rio das Flores
10;10º BPM - Barra do Piraí;94;094a. Piraí
10;10º BPM - Barra do Piraí;95;095a. Vassouras
10;10º BPM - Barra do Piraí;96;096a. Miguel Pereira
10;10º BPM - Barra do Piraí;97;097a. Mendes
10;10º BPM - Barra do Piraí;98;098a. Paulo de Frontin
11;11º BPM - Nova Friburgo;151;151a. Nova Friburgo
11;11º BPM - Nova Friburgo;152;152a. Duas Barras
11;11º BPM - Nova Friburgo;153;153a. Cantagalo
11;11º BPM - Nova Friburgo;154;154a. Cordeiro
11;11º BPM - Nova Friburgo;156;156a. Santa Maria Madalena
11;11º BPM - Nova Friburgo;157;157a. Trajano de Morais
