polled_UE,cargo,CANDIDATO,percentage
BR,PR,Lula,"44,4"
BR,PR,Jair Bolsonaro,"37,2"
BR,PR,Brancos/Nulos,"6,4"
BR,PR,Ciro Gomes,"5,6"
BR,PR,Simone Tebet,"4,6"
BR,PR,Outros,"0,7"
BR,PR,Soraya Thronicke,"0,6"
BR,PR,Felipe Davila,"0,4"
BR,PR,Vera,"0,1"
BR,PR,Sofia Manzano,0
BR,PR,Léo Péricles,0
BR,PR,Constituinte Eymael,0
BR,PR,Padre Kelmon,0
AC,G,Gladson Cameli,"51,1"
AC,G,Jorge Viana,"22,5"
AC,G,Mara Rocha,"8,9"
AC,G,Brancos/Nulos,"7,4"
AC,G,Petecão,"3,5"
AC,G,Marcio Bittar,"3,1"
AC,G,Outros,"2,7"
AC,G,David Hall,"0,6"
AC,G,Professor Nilson,"0,4"
AL,G,Paulo Dantas,"36,1"
AL,G,Rodrigo Cunha,"21,1"
AL,G,Brancos/Nulos,"15,4"
AL,G,Collor,"15,2"
AL,G,Rui Palmeira,"11,1"
AL,G,Professor Cicero Albuquerque,"0,6"
AL,G,Luciano Almeida,"0,2"
AL,G,Outros,"0,1"
AL,G,Bombeiro Luciano Fontes,"0,1"
AM,G,Wilson Lima,"33,2"
AM,G,Amazonino Mendes,"25,9"
AM,G,Eduardo Braga,"17,7"
AM,G,Brancos/Nulos,"12,3"
AM,G,Ricardo Nicolau,"5,9"
AM,G,Carol Braz,"2,4"
AM,G,Henrique Oliveira,"1,7"
AM,G,Dr Israel Tuyuka,"0,5"
AM,G,Nair Blair,"0,2"
AP,G,Clécio,"45,7"
AP,G,Jaime Nunes,"37,4"
AP,G,Brancos/Nulos,"10,3"
AP,G,Gilvam Borges,"3,2"
AP,G,Gesiel de Oliveira,"2,1"
AP,G,Gianfranco,"0,7"
AP,G,Jairo Palheta,"0,7"
BA,G,ACM Neto,"45,5"
BA,G,Jerônimo,"34,2"
BA,G,Brancos/Nulos,"9,9"
BA,G,João Roma,"8,9"
BA,G,Kleber Rosa,"0,7"
BA,G,Marcelo Millet,"0,5"
BA,G,Giovani Damico,"0,2"
CE,G,Elmano de Freitas,"35,5"
CE,G,Capitão Wagner,"33,2"
CE,G,Roberto Cláudio,"17,4"
CE,G,Brancos/Nulos,"11,5"
CE,G,Zé Batista,"0,3"
CE,G,Chico Malta,"0,3"
CE,G,Outros,"0,1"
CE,G,Serley Leal,0
DF,G,Ibaneis Rocha,"43,6"
DF,G,Brancos/Nulos,"15,9"
DF,G,Leandro Grass,"12,3"
DF,G,Paulo Octávio PO,"9,8"
DF,G,Leila do Vôlei,"8,3"
DF,G,Izalci,"6,3"
DF,G,Coronel Moreno,"1,5"
DF,G,Keka Bagno,"1,5"
DF,G,Renan Arruda,"0,5"
DF,G,Lucas Salles,"0,2"
DF,G,Robson,"0,1"
DF,G,Teodoro da Cruz,"0,1"
ES,G,Renato Casagrande,"44,3"
ES,G,Manato,"23,5"
ES,G,Brancos/Nulos,"14,9"
ES,G,Outros,"8,1"
ES,G,Audifax,"7,4"
ES,G,Capitao Vinicius Sousa,1
ES,G,Aridelmo,"0,7"
ES,G,Claudio Paiva,"0,2"
GO,G,Ronaldo Caiado,"48,8"
GO,G,Gustavo Mendanha,22
GO,G,Brancos/Nulos,"13,1"
GO,G,Major Vitor Hugo,"10,4"
GO,G,Wolmir Amado,"4,1"
GO,G,Cintia Dias,"0,7"
GO,G,Edigar Diniz,"0,4"
GO,G,Professora Helga,"0,2"
GO,G,Professor Pantaleão,"0,2"
MA,G,Carlos Brandão,"39,9"
MA,G,Weverton,"22,3"
MA,G,Lahesio Bonfim,"20,7"
MA,G,Brancos/Nulos,"10,5"
MA,G,Edivaldo,"5,5"
MA,G,Professor Joas Moraes,"0,5"
MA,G,Simplicio,"0,4"
MA,G,Frankle Costa,"0,1"
MA,G,Enilton Rodrigues,"0,1"
MA,G,Hertz Dias,0
MG,G,Zema,"47,7"
MG,G,Kalil,"30,8"
MG,G,Brancos/Nulos,"14,4"
MG,G,Carlos Viana,"4,5"
MG,G,Marcus Pestana,"0,7"
MG,G,Vanessa Portugal,"0,5"
MG,G,Renata Regina,"0,5"
MG,G,Cabo Tristao,"0,4"
MG,G,Lorene Figueiredo,"0,4"
MG,G,Indira Xavier,"0,1"
MG,G,Lourdes Francisco,0
MS,G,André Puccinelli,"22,6"
MS,G,Eduardo Riedel,"18,2"
MS,G,Marquinhos Trad,"14,5"
MS,G,Capitão Contar,"14,4"
MS,G,Rose Modesto,"13,5"
MS,G,Brancos/Nulos,"12,5"
MS,G,Giselle,"3,9"
MS,G,Adonis Marcos,"0,4"
MS,G,Magno de Souza,"0,1"
MT,G,Mauro Mendes,"58,6"
MT,G,Brancos/Nulos,"20,6"
MT,G,Marcia Pinheiro,"15,4"
MT,G,Pastor Marcos Ritela,"3,6"
MT,G,Moisés Franz,"1,7"
PA,G,Helder,70
PA,G,Zequinha Marinho,15
PA,G,Brancos/Nulos,"11,3"
PA,G,Dr. Felipe,1
PA,G,Adolfo Oliveira,"0,8"
PA,G,Sofia Couto,"0,7"
PA,G,Major Marcony,"0,5"
PA,G,Paulo Roseira,"0,4"
PA,G,Cleber Rabelo,"0,2"
PB,G,João,"33,4"
PB,G,Veneziano,19
PB,G,Pedro Cunha Lima,"16,3"
PB,G,Nilvan Ferreira,"11,9"
PB,G,Brancos/Nulos,"10,9"
PB,G,Major Fábio,"1,1"
PB,G,Adjany Simplicio ,"0,6"
PB,G,Adriano Trajano,"0,3"
PE,G,Marília Arraes,"33,3"
PE,G,Brancos/Nulos,15
PE,G,Anderson Ferreira,"14,1"
PE,G,Raquel Lyra,"13,6"
PE,G,Miguel Coelho,"11,7"
PE,G,Danilo Cabral,"10,9"
PE,G,Pastor Wellington,"0,8"
PE,G,Jones Manoel,"0,2"
PE,G,João Arnaldo,"0,2"
PE,G,Outros,"0,1"
PE,G,Claudia Ribeiro,0
PI,G,Rafael Fonteles,"39,5"
PI,G,Silvio Mendes,"38,2"
PI,G,Brancos/Nulos,"15,4"
PI,G,Outros,"2,2"
PI,G,Coronel Diego Melo,"2,2"
PI,G,Gessy Lima,"1,1"
PI,G,Lourdes Melo,"0,4"
PI,G,Madalena Nunes,"0,3"
PI,G,Gustavo Henrique,"0,3"
PI,G,Geraldo Carvalho,"0,2"
PI,G,Ravenna Castro,"0,2"
PR,G,carlos massa ratinho junior,"58,4"
PR,G,Requiao,"24,9"
PR,G,Brancos/Nulos,"12,1"
PR,G,Gomyde,"1,8"
PR,G,Professora Angela,"0,9"
PR,G,Outros,"0,4"
PR,G,Joni Correia,"0,4"
PR,G,Adriano Teixeira,"0,4"
PR,G,Solange Ferreira Bueno,"0,4"
PR,G,Professor Ivan,"0,2"
PR,G,Vivi Motta,"0,2"
RJ,G,Cláudio Castro,"37,2"
RJ,G,Marcelo Freixo,"26,4"
RJ,G,Brancos/Nulos,"19,6"
RJ,G,Rodrigo Neves,"8,2"
RJ,G,Paulo Ganime,"2,9"
RJ,G,Cyro Garcia,"1,8"
RJ,G,Juliete ,"1,5"
RJ,G,Eduardo Serra,1
RJ,G,Wilson Witzel,1
RJ,G,Luiz Eugênio,"0,2"
RJ,G,Outros,"0,1"
RN,G,Fatima Bezerra,"42,6"
RN,G,Brancos/Nulos,"19,3"
RN,G,Capitão Styvenson,"15,6"
RN,G,Fabio Dantas,"12,9"
RN,G,Outros,"6,6"
RN,G,Clorisa Linhares,"1,4"
RN,G,Rosália Fernandes,"0,5"
RN,G,Bento,"0,5"
RN,G,Danniel Morais,"0,5"
RN,G,Rodrigo Vieira,"0,1"
RN,G,Nazareno Neris,0
RO,G,Coronel Marcos Rocha,"38,7"
RO,G,Marcos Rogerio,"24,4"
RO,G,Brancos/Nulos,"16,2"
RO,G,Léo Moraes,13
RO,G,Daniel Pereira,"4,9"
RO,G,Pimenta de Rondonia,"2,4"
RO,G,Comendador Val Queiroz,"0,4"
RR,G,Antonio Denarium,"48,3"
RR,G,Teresa Surita,"39,9"
RR,G,Brancos/Nulos,"8,3"
RR,G,Fábio Almeida,"1,6"
RR,G,Juraci Escurinho,1
RR,G,Rudson Leite,1
RS,G,Eduardo Leite,"33,4"
RS,G,Onyx Lorenzoni,"28,2"
RS,G,Edegar Pretto,"33,4"
RS,G,Brancos/Nulos,"11,4"
RS,G,Luis Carlos Heinze,"4,4"
RS,G,Vieira da Cunha,"2,1"
RS,G,Argenta,"1,6"
RS,G,Ricardo Jobim,1
RS,G,VIcente Bogo,"0,3"
RS,G,Rejane de Oliveira,"0,2"
RS,G,Carlos Messalla,"0,1"
SC,G,Jorginho Mello,"25,6"
SC,G,Moisés,"17,3"
SC,G,Gean Loureiro,"14,4"
SC,G,Décio Lima,"14,1"
SC,G,Brancos/Nulos,"13,6"
SC,G,Esperidião AMin,"10,9"
SC,G,Odair Tramontin,"2,8"
SC,G,Jorge Boeira,"0,6"
SC,G,Professor Alex Alano,"0,3"
SC,G,Ralf Zimmer,"0,3"
SC,G,Leandro Borges,"0,1"
SE,G,Valmir de Francisquinho,"25,4"
SE,G,Rogério Carvalho,"22,5"
SE,G,Fábio ,"20,5"
SE,G,Brancos/Nulos,"17,2"
SE,G,Delegado Alessandro,"10,1"
SE,G,Niully Campos,"3,2"
SE,G,Dr Claudio Medico Geriatra,"0,5"
SE,G,Professor Aroldo Felix,"0,5"
SE,G,Elinos Sabino,"0,1"
SP,G,Fernando Haddad,"32,5"
SP,G,Tarcisio,"25,9"
SP,G,Rodrigo Garcia,20
SP,G,Brancos/Nulos,"17,3"
SP,G,Vinicius Poit,"1,1"
SP,G,Elvis Cezar,"0,7"
SP,G,Carol Vigliar,"0,7"
SP,G,Gabriel Colombo,"0,5"
SP,G,Edson Dorta,"0,5"
SP,G,Antonio Jorge,"0,4"
SP,G,Altino,"0,3"
SP,G,Outros,"0,1"
TO,G,Wanderlei Barbosa,"48,8"
TO,G,Ronaldo Dimas,"17,8"
TO,G,Brancos/Nulos,"16,3"
TO,G,Paulo Mourão,"8,2"
TO,G,Irajá,"7,2"
TO,G,Dr Luciano do Oswaldo Cruz,"0,7"
