"pretty_name","company_id","has_abep","has_conre","avg","spm","weighted_pm","n","rev_mean","pred_pm","quant_bin","grade"
"6 Sigma","13358105000169",TRUE,FALSE,4.001,-0.511,-0.461,13,0.047,-0.189,2,"B+"
"ABC Dados","33303114000160",FALSE,FALSE,4.664,0.849,0.956,6,0.757,0.814,4,"B-"
"Access","06271706000174",FALSE,FALSE,6.194,1.094,1.387,20,0.757,1.117,5,"C"
"Acertar","04717077000138",TRUE,FALSE,3.307,-0.92,-0.288,5,0.047,-0.037,2,"B+"
"Action Marketing","06023655000161",TRUE,TRUE,2.662,-1.296,-1.603,5,0.047,-0.366,2,"B+"
"Advise","07804258000190",FALSE,FALSE,8.539,3.582,3.543,7,0.757,1.643,6,"D"
"Agili Pesquisas","09610985000141",FALSE,TRUE,6.618,1.695,1.695,5,0.047,0.459,3,"B"
"Agora Pesquisa (BA)","14293213000163",FALSE,TRUE,3.255,-2.208,-2.208,6,0.047,-0.597,1,"A"
"Ágora Pesquisa (RJ)","19557018000117",FALSE,TRUE,3.101,-1.543,-1.507,9,0.047,-0.536,2,"B+"
"Agorasei Pesquisa","AGORASEI",FALSE,FALSE,5.018,-0.155,-0.222,34,0.757,0.078,3,"B"
"Alternativa Dados","03846350000161",FALSE,FALSE,6.426,1.549,1.549,12,0.757,1.109,5,"C"
"American Analytics","34972238000109",FALSE,FALSE,4.356,-0.25,0.156,5,0.757,0.607,4,"B-"
"Atlas Político","19259002000128",FALSE,TRUE,3.147,-0.541,-0.755,8,0.047,-0.232,2,"B+"
"Avaliar Pesquisa","32844376000179",FALSE,FALSE,5.7,0.696,-0.347,5,0.757,0.481,3,"B"
"Badra Comunicação","04209958000148",FALSE,TRUE,3.459,-0.384,-0.337,12,0.047,-0.124,2,"B+"
"BMO","01217178000151",FALSE,FALSE,5.582,0.382,0.382,5,0.757,0.663,4,"B-"
"BR Marketing","08438497000136",FALSE,FALSE,8.499,3.772,3.709,8,0.757,1.784,6,"D"
"Brand Consultoria","28504695000168",FALSE,FALSE,5.048,0.526,0.586,7,0.757,0.702,4,"B-"
"Brasil Dados","19812752000185",FALSE,TRUE,6.78,0.455,0.561,10,0.047,0.253,3,"B"
"Camminus Marketing","28376850000108",FALSE,FALSE,4.188,-0.328,-0.253,8,0.757,0.406,3,"B"
"Captavox","11716486000185",FALSE,FALSE,3.424,-2.004,-1.709,11,0.757,-0.287,2,"B+"
"Census Pesquisas","09471067000189",FALSE,FALSE,6.544,0.983,0.905,11,0.757,0.82,4,"B-"
"Certifica Consultoria","20972537000120",FALSE,TRUE,4.38,-0.597,-0.614,11,0.047,-0.233,2,"B+"
"Certus","03127619000150",FALSE,FALSE,3.704,-0.804,-0.623,14,0.757,0.091,3,"B"
"Colectta Consultoria","32245527000172",FALSE,TRUE,3.387,-1.308,-1.239,5,0.047,-0.275,2,"B+"
"Compet","08691707000101",FALSE,FALSE,4.986,-0.514,-0.498,17,0.757,0.09,3,"B"
"Comunicare","02503309000120",FALSE,FALSE,6.763,0.204,0.299,11,0.757,0.563,4,"B-"
"Conpar","03683644000110",FALSE,TRUE,3.871,-0.912,-0.542,19,0.047,-0.282,2,"B+"
"Consult Pesquisa (RN)","04843093000177",TRUE,TRUE,4.988,0.095,0.21,43,0.047,0.168,3,"B"
"Consulte Inteligência (PI)","22889875000129",FALSE,FALSE,3.881,-1.493,-1.493,5,0.757,0.195,3,"B"
"Cooperfil","03896981000195",FALSE,FALSE,7.828,2.235,1.87,6,0.757,1.075,5,"C"
"CP2 Pesquisa","22642565000105",TRUE,TRUE,5.231,0.091,0.491,19,0.047,0.295,3,"B"
"D M Duarte","84480946000192",FALSE,FALSE,3.344,-0.421,-0.586,7,0.757,0.33,3,"B"
"Dados Folha (GO)","33403221000160",FALSE,FALSE,6.885,1.512,1.514,5,0.757,0.946,4,"B-"
"Dados Pesquisa (GO)","14538940000143",FALSE,FALSE,4.962,-0.299,-0.16,9,0.757,0.413,3,"B"
"Data AZ","09636807000190",FALSE,FALSE,4.812,0.155,0.27,14,0.757,0.522,4,"B-"
"Data Fato","05394365000161",FALSE,FALSE,5.466,-0.258,-0.478,5,0.757,0.448,3,"B"
"Data M","05833992000151",FALSE,FALSE,4.904,0.017,0.232,19,0.757,0.464,3,"B"
"Dataconsulte","01408365000112",FALSE,FALSE,8.275,2.902,2.695,6,0.757,1.311,5,"C"
"Datafolha","07630546000175",TRUE,TRUE,3.181,-0.426,-0.454,164,0.047,-0.412,2,"B+"
"Dataform","15602816000162",FALSE,FALSE,3.599,-0.901,-1.015,11,0.757,0.007,3,"B"
"Datamax","11186543000161",FALSE,FALSE,6.685,1.793,1.89,11,0.757,1.236,5,"C"
"Datamédia","15692490000101",FALSE,FALSE,8.063,3.094,3.089,11,0.757,1.744,6,"D"
"Dataqualy","04583866000123",TRUE,TRUE,3.278,-2.39,-2.39,5,0.047,-0.562,2,"B+"
"Datasonda","04453641000152",FALSE,FALSE,3.417,-1.534,-1.383,5,0.757,0.222,3,"B"
"Datavox (PB)","10956929000142",FALSE,TRUE,5.834,0.839,0.972,23,0.047,0.607,4,"B-"
"Delta Agência de Pesquisa","08984712000102",FALSE,FALSE,3.069,-0.564,-0.777,8,0.757,0.223,3,"B"
"Desttaq","09472061000126",FALSE,FALSE,5.953,0.553,0.623,10,0.757,0.703,4,"B-"
"DGABC Pesquisas","DGABC",FALSE,FALSE,3.15,-0.539,-0.539,5,0.757,0.433,3,"B"
"Diagnóstico Pesquisas","15015873000145",FALSE,FALSE,4.953,0.015,-0.042,6,0.757,0.529,4,"B-"
"Directa Pesquisa","20252668000133",FALSE,FALSE,7.938,2.774,2.993,12,0.757,1.751,6,"D"
"DMP","03079221000195",FALSE,TRUE,3.891,0.021,0.136,14,0.047,0.09,3,"B"
"Doxa","07317438000147",TRUE,FALSE,4.833,0.359,0.302,48,0.047,0.242,3,"B"
"Empresa de Pesquisas Técnicas","03568752000141",FALSE,TRUE,3.727,-1.285,-1.373,9,0.047,-0.486,2,"B+"
"Enquet Pesquisas","28500023000184",TRUE,FALSE,4.706,-0.322,-0.169,7,0.047,-0.022,2,"B+"
"EPP","01403730000104",FALSE,FALSE,3.026,-2.253,-2.234,7,0.757,-0.195,2,"B+"
"Equação Pesquisas","35572214000117",FALSE,FALSE,4.989,0.164,0.184,9,0.757,0.542,4,"B-"
"Escutec","ESCUTEC",FALSE,FALSE,5.09,-0.34,-0.34,110,0.757,-0.208,2,"B+"
"Estimativa","22675543000141",FALSE,FALSE,7.997,2.66,2.903,9,0.757,1.562,6,"D"
"Exata GO","35830530000141",FALSE,FALSE,9.374,4.447,4.455,6,0.757,1.813,6,"D"
"Exata Op (DF)","03303870000128",FALSE,FALSE,5.355,1.421,1.067,12,0.757,0.895,4,"B-"
"Exata Pesquisa (MA)","63581458000100",FALSE,FALSE,3.698,-1.05,-0.557,14,0.757,0.122,3,"B"
"Exatus Consultoria (RN)","36443750000185",FALSE,FALSE,5.736,0.917,1.257,10,0.757,0.957,4,"B-"
"F5 Atualiza Dados","24089028000105",FALSE,TRUE,4.781,-0.633,-0.633,8,0.047,-0.19,2,"B+"
"Fernandes Consultoria","33509397000109",FALSE,FALSE,5.58,0.318,0.4,7,0.757,0.643,4,"B-"
"FLS Pesquisa","11262311000145",FALSE,FALSE,3.648,-0.881,-0.847,11,0.757,0.079,3,"B"
"Folha Capital","10501739000130",FALSE,FALSE,5.959,0.283,-0.016,6,0.757,0.536,4,"B-"
"Fortiori","05850850000100",FALSE,FALSE,4.257,-0.249,0.293,10,0.757,0.571,4,"B-"
"Futura","FUTURA",TRUE,FALSE,3.675,-0.925,-0.855,57,0.047,-0.667,1,"A"
"Gazeta Dados","05023065000176",FALSE,TRUE,3.257,-1.406,-1.57,17,0.047,-0.812,1,"A"
"Gerp","GERP",TRUE,FALSE,6.235,2.141,2.217,10,0.047,0.915,4,"B-"
"Govnet/Instituto Opinião (SP)","NILTON",FALSE,TRUE,3.331,-1.12,-1.037,27,0.047,-0.65,1,"A"
"GPP","39253182000148",TRUE,TRUE,4.638,0.39,0.393,11,0.047,0.193,3,"B"
"Grupo M","01096445000180",TRUE,FALSE,4.845,0.203,0.723,10,0.047,0.317,3,"B"
"IABR","24428494000178",FALSE,FALSE,4.744,-1.099,-0.863,8,0.757,0.193,3,"B"
"IBPS","04967411000101",FALSE,TRUE,3.441,-0.947,-1.032,10,0.047,-0.385,2,"B+"
"Ibrape (AL)","10595124000110",FALSE,TRUE,7.416,1.318,1.318,8,0.047,0.489,3,"B"
"Ibrape (MS)","02943355000140",FALSE,TRUE,6.519,-0.274,0.378,16,0.047,0.218,3,"B"
"IMAPE","09170122000109",FALSE,TRUE,7.673,2.666,2.729,8,0.047,0.98,4,"B-"
"Incope","18237296000124",FALSE,FALSE,4.521,-1.665,-1.665,6,0.757,0.065,3,"B"
"Index Pesquisas","10735713000157",FALSE,TRUE,6.029,1.016,1.024,9,0.047,0.413,3,"B"
"Inerpes","06972255000100",FALSE,FALSE,5.666,0.644,0.644,5,0.757,0.729,4,"B-"
"Infornews","35851783000100",FALSE,TRUE,5.709,0.947,0.665,6,0.047,0.224,3,"B"
"INOP","14266926000138",FALSE,FALSE,9.074,3.724,3.707,12,0.757,2.068,6,"D"
"INOPE","15625058000106",FALSE,TRUE,4.343,-0.352,-0.396,11,0.047,-0.14,2,"B+"
"INOR","35728961000100",FALSE,TRUE,6.698,1.654,1.436,5,0.047,0.394,3,"B"
"Inove Consultoria","04960987000147",FALSE,FALSE,4.247,-0.893,-0.842,5,0.757,0.357,3,"B"
"Instituto Amostragem","10320257000184",TRUE,FALSE,3.541,-1.546,-1.36,38,0.047,-0.961,1,"A"
"Instituto Credibilidade","15563771000164",FALSE,FALSE,6.293,0.971,1.152,31,0.757,1.023,4,"B-"
"Instituto Datailha","25240253000163",FALSE,FALSE,5.448,0.493,0.643,16,0.757,0.698,4,"B-"
"Instituto Datasensus","17159578000198",FALSE,TRUE,6.191,0.534,0.656,9,0.047,0.275,3,"B"
"Instituto de Pesquisa Resultado (MS)","06270812000133",TRUE,TRUE,5.071,-0.811,-0.573,12,0.047,-0.229,2,"B+"
"Instituto Econométrica","ECONOMETRICA",FALSE,FALSE,4.713,-0.128,0.023,10,0.757,0.463,3,"B"
"Instituto Estimativa","35575890000144",FALSE,FALSE,7.015,1.501,1.623,18,0.757,1.23,5,"C"
"Instituto Exatta (PE)","09040566000111",FALSE,FALSE,4.978,-0.274,-0.274,9,0.757,0.37,3,"B"
"Instituto França","24899123000174",FALSE,FALSE,5.266,0.671,0.665,25,0.757,0.699,4,"B-"
"Instituto Gauss","GAUSS",FALSE,FALSE,7.813,1.758,1.807,9,0.757,1.151,5,"C"
"Instituto Haverroth","28780441000172",FALSE,TRUE,5.297,-1.007,-1.007,7,0.047,-0.288,2,"B+"
"Instituto Jales","08057107000188",FALSE,FALSE,5.212,0.152,0.094,12,0.757,0.462,3,"B"
"Instituto Methodus","00853528000103",FALSE,TRUE,4.722,-0.12,-0.179,21,0.047,-0.085,2,"B+"
"Instituto Opinião (PR)","10340949000194",FALSE,FALSE,4.303,-0.146,-0.254,17,0.757,0.22,3,"B"
"Instituto Podium","06288268000157",FALSE,FALSE,6.999,1.616,1.457,7,0.757,0.98,4,"B-"
"Instituto Qualitativa","37609944000170",FALSE,FALSE,5.17,-0.16,-0.55,11,0.757,0.204,3,"B"
"Instituto Realidade","REALIDADE",FALSE,FALSE,8.026,3.578,3.292,15,0.757,2.025,6,"D"
"Instituto Seta","10783981000144",FALSE,TRUE,4.89,0.175,0.289,45,0.047,0.229,3,"B"
"Instituto Skala","25158765000185",FALSE,FALSE,6.209,0.071,0.209,10,0.757,0.538,4,"B-"
"Instituto Visão (PR)","07278993000107",FALSE,FALSE,7.923,2.686,2.702,13,0.757,1.66,6,"D"
"Instituto Vision Survey","36143137000142",FALSE,TRUE,8.046,1.683,1.82,6,0.047,0.554,4,"B-"
