ue,cargo,urnas_apuradas,eleitorado,abstencoes,total_votos,brancos,nulos,nome,numero,votos_validos,eleito
MS,1,"100,00",1995932,440783,1555149,17651,30509,CIRO GOMES,12,29314,
MS,1,"100,00",1995932,440783,1555149,17651,30509,LULA,13,588323,
MS,1,"100,00",1995932,440783,1555149,17651,30509,PADRE KELMON,14,1057,
MS,1,"100,00",1995932,440783,1555149,17651,30509,SIMONE TEBET,15,79719,
MS,1,"100,00",1995932,440783,1555149,17651,30509,VERA,16,222,
MS,1,"100,00",1995932,440783,1555149,17651,30509,LÉO PÉRICLES,80,350,
MS,1,"100,00",1995932,440783,1555149,17651,30509,JAIR BOLSONARO,22,794206,
MS,1,"100,00",1995932,440783,1555149,17651,30509,CONSTITUINTE EYMAEL,27,152,
MS,1,"100,00",1995932,440783,1555149,17651,30509,FELIPE D&apos;AVILA,30,5193,
MS,1,"100,00",1995932,440783,1555149,17651,30509,SORAYA THRONICKE,44,8082,
MS,1,"100,00",1995932,440783,1555149,17651,30509,SOFIA MANZANO,21,371,
PI,1,"100,00",2570433,454788,2115645,19477,51782,SIMONE TEBET,15,42179,
PI,1,"100,00",2570433,454788,2115645,19477,51782,CIRO GOMES,12,59321,
PI,1,"100,00",2570433,454788,2115645,19477,51782,VERA,16,317,
PI,1,"100,00",2570433,454788,2115645,19477,51782,CONSTITUINTE EYMAEL,27,150,
PI,1,"100,00",2570433,454788,2115645,19477,51782,LÉO PÉRICLES,80,350,
PI,1,"100,00",2570433,454788,2115645,19477,51782,PADRE KELMON,14,1122,
PI,1,"100,00",2570433,454788,2115645,19477,51782,FELIPE DAVILA,30,2562,
PI,1,"100,00",2570433,454788,2115645,19477,51782,SOFIA MANZANO,21,427,
PI,1,"100,00",2570433,454788,2115645,19477,51782,LULA,13,1518008,
PI,1,"100,00",2570433,454788,2115645,19477,51782,JAIR BOLSONARO,22,406897,
PI,1,"100,00",2570433,454788,2115645,19477,51782,SORAYA THRONICKE,44,13053,
BR,1,"99,99",156454011,32770841,123682152,1964777,3487873,LULA,13,57259405,
BR,1,"99,99",156454011,32770841,123682152,1964777,3487873,JAIR BOLSONARO,22,51072234,
BR,1,"99,99",156454011,32770841,123682152,1964777,3487873,SIMONE TEBET,15,4915420,
BR,1,"99,99",156454011,32770841,123682152,1964777,3487873,CIRO GOMES,12,3599285,
BR,1,"99,99",156454011,32770841,123682152,1964777,3487873,SORAYA THRONICKE,44,600953,
BR,1,"99,99",156454011,32770841,123682152,1964777,3487873,FELIPE DAVILA,30,559708,
BR,1,"99,99",156454011,32770841,123682152,1964777,3487873,PADRE KELMON,14,81129,
BR,1,"99,99",156454011,32770841,123682152,1964777,3487873,LÉO PÉRICLES,80,53519,
BR,1,"99,99",156454011,32770841,123682152,1964777,3487873,SOFIA MANZANO,21,45620,
BR,1,"99,99",156454011,32770841,123682152,1964777,3487873,VERA,16,25625,
BR,1,"99,99",156454011,32770841,123682152,1964777,3487873,CONSTITUINTE EYMAEL,27,16604,
TO,1,"100,00",1094346,202897,891449,6795,22862,CIRO GOMES,12,18141,
TO,1,"100,00",1094346,202897,891449,6795,22862,LULA,13,434303,
TO,1,"100,00",1094346,202897,891449,6795,22862,PADRE KELMON,14,418,
TO,1,"100,00",1094346,202897,891449,6795,22862,SIMONE TEBET,15,25209,
TO,1,"100,00",1094346,202897,891449,6795,22862,VERA,16,90,
TO,1,"100,00",1094346,202897,891449,6795,22862,LÉO PÉRICLES,80,129,
TO,1,"100,00",1094346,202897,891449,6795,22862,JAIR BOLSONARO,22,379194,
TO,1,"100,00",1094346,202897,891449,6795,22862,CONSTITUINTE EYMAEL,27,105,
TO,1,"100,00",1094346,202897,891449,6795,22862,FELIPE D&apos;AVILA,30,1266,
TO,1,"100,00",1094346,202897,891449,6795,22862,SORAYA THRONICKE,44,2788,
TO,1,"100,00",1094346,202897,891449,6795,22862,SOFIA MANZANO,21,149,
